entrez	gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
6017	RLBP1	-5.993581190476193	7.014368843537415	-66.68304294698663	7.139344436436254e-14	3.219915734277115e-9	16.89318707195764
5153	PDE1B	-2.285068273809525	9.300817653061225	-31.534856514548647	7.760925686593397e-11	1.734325288837643e-6	14.078981664338237
58158	NEUROD4	-3.297194682539683	5.452710340136054	-29.629029405874476	1.3851297247468972e-10	1.734325288837643e-6	13.723108793696994
63951	DMRTA1	-3.908654861111112	5.855157857142857	-29.296523302772897	1.5381701415380086e-10	1.734325288837643e-6	13.656652861146544
429	ASCL1	2.4387246428571427	9.721357414965986	27.165097670222153	3.099977606822504e-10	2.336295861468702e-6	13.196178689469864
51666	ASB4	3.103492738095236	7.385208707482993	26.054430590014487	4.563941867902491e-10	2.577975838665719e-6	12.930252052270347
4762	NEUROG1	-2.8669488492063513	6.766396292517007	-26.048973029191334	4.572804751408118e-10	2.577975838665719e-6	12.928897492911037
1749	DLX5	3.5914025396825378	9.591160340136053	24.74307373224604	7.360456628095351e-10	3.4847277537464982e-6	12.590403005431867
1745	DLX1	3.9183977380952366	10.888543469387756	24.61355768102415	7.726497757802483e-10	3.4847277537464982e-6	12.555208486360293
79971	WLS	3.088426210317461	7.556160850340137	23.89949945070409	1.014290327412664e-9	3.840969193995519e-6	12.355588253880413
320038	Dlx6os1	4.357610992063492	9.158431360544217	23.88000895530686	1.0219647087192353e-9	3.840969193995519e-6	12.350003772092236
56704	JPH1	-2.585951567460317	6.4406608503401355	-23.634390689425036	1.1243810370571396e-9	3.900823780947235e-6	12.278992725224125
151354	FAM84A	-2.6239403968253963	9.246418027210884	-23.384078776491613	1.240555296495653e-9	3.996448887660746e-6	12.205394851722133
5629	PROX1	2.477574404761904	5.91974918367347	23.097228561146995	1.390273611429003e-9	4.1801820099372975e-6	12.119492667023898
1746	DLX2	3.6276537301587317	10.438141258503402	22.885783253458598	1.5134184509596294e-9	4.26604284729564e-6	12.055081008515742
55083	KIF26B	-2.6110929761904753	7.330669727891156	-20.44852264185846	4.268906229365724e-9	1.0521591787821798e-5	11.239681772462749
6653	SORL1	-2.243361011904764	6.813442517006803	-20.28287172338765	4.600172745829963e-9	1.0521591787821798e-5	11.178962055170423
340260	UNCX	2.9848167857142838	6.0183379251700675	20.25162415520356	4.6657909083265545e-9	1.0521591787821798e-5	11.16742634901155
9957	HS3ST1	-1.5299132341269854	9.610251802721088	-19.868915137380863	5.5591631774238764e-9	1.193922945071401e-5	11.023995410935758
5502	PPP1R1A	-1.6743048214285727	9.098105340136055	-19.322866692968386	7.1784661494023e-9	1.4076347904530136e-5	10.812268554042806
113263	GLCCI1	1.7925738492063485	10.075164183673468	19.061983128283657	8.130871944825676e-9	1.5279602315982616e-5	10.708061006624476
1002	CDH4	-1.7879298015873029	10.043325034013606	-18.96460164530753	8.521473354169972e-9	1.5373078789856794e-5	10.668642344782732
100616095	Snhg18	-1.4020514682539693	8.432748843537416	-18.751060201308235	9.452590977981593e-9	1.6396973296074917e-5	10.581194731981416
6571	SLC18A2	3.901131507936507	6.614802925170068	18.580171681765357	1.0278858232338765e-8	1.691297919777364e-5	10.510199844755455
5456	POU3F4	2.222046706349206	8.88370224489796	18.369372967873257	1.1409850856527056e-8	1.7744678740697474e-5	10.421358036662632
7022	TFAP2C	-1.2894990476190484	8.34890149659864	-18.271044028692362	1.1983850552077331e-8	1.801612145830799e-5	10.379430963491263
18191	Nrxn3	1.7690896031746026	8.230220884353741	18.1631821970169	1.2650425809848824e-8	1.8086876454725557e-5	10.33307857444478
10215	OLIG2	2.8153556349206332	7.497092108843536	18.073937635784933	1.3232950003748181e-8	1.8086876454725557e-5	10.294438783787733
221662	RBM24	-1.3923289682539695	7.562727891156462	-18.073779756970524	1.323400640797196e-8	1.8086876454725557e-5	10.294370195176427
51299	NRN1	-1.7134521031746055	10.09691006802721	-17.728170541808595	1.57863467778487e-8	2.0889600396096598e-5	10.142226387528865
57180	ACTR3B	-1.4148023809523804	8.433427210884354	-17.676686118385728	1.6211082101580474e-8	2.0889600396096598e-5	10.119215573436499
1382	CRABP2	1.8290217658730172	8.319914183673468	17.477086748123803	1.798111253287854e-8	2.2114833972859858e-5	10.02913889063328
54715	RBFOX1	-1.303656547619049	10.489025306122448	-17.45996700485771	1.8142587902614458e-8	2.2114833972859858e-5	10.021348246261145
2637	GBX2	2.238007222222222	5.724817142857143	17.039972393366178	2.2651464057975337e-8	2.6194966166121683e-5	9.826949440438447
6563	SLC14A1	-2.561448075396826	4.745786496598639	-16.832219797245813	2.5328605300090672e-8	2.826164924203105e-5	9.728412001693584
9079	LDB2	-1.403239166666668	9.882514285714285	-16.805910965894697	2.5691838738016297e-8	2.826164924203105e-5	9.715818883949169
2192	FBLN1	1.2319746825396818	9.10005013605442	16.472362457961772	3.08315794246886e-8	3.26916092124891e-5	9.553878634361993
10186	LHFPL6	-1.5044873015873013	8.863232176870747	-16.411113704577208	3.18935457162706e-8	3.26916092124891e-5	9.523675304963145
2115	ETV1	2.285071388888887	8.484940714285715	16.267917169177373	3.453735951464541e-8	3.287088256881546e-5	9.452485707047728
130574	LYPD6	-1.748624325396826	8.451950544217688	-16.237361353387183	3.513227292054603e-8	3.287088256881546e-5	9.437189724425256
83879	CDCA7	1.3648317857142873	10.932677687074829	16.221935172542533	3.5436903832051496e-8	3.287088256881546e-5	9.429453348582495
256297	PTF1A	1.9955639880952365	6.005421802721088	16.14738577359617	3.695074029435527e-8	3.287088256881546e-5	9.391931637861983
