Experiment_ID	Experiment_Type	Method	TF_Source_Type
exp_0382	binding	chip	not_applicable
exp_0383	binding	emsa	cell_line
exp_0384	binding	emsa	cell_line
exp_0387	binding	chip	not_applicable
exp_0388	binding	emsa	cell_line
exp_0391	binding	chip	not_applicable
exp_0392	binding	emsa	cell_line
exp_0402	binding	emsa	cell_line
exp_0403	binding	emsa	cell_line
exp_0404	binding	emsa	cell_line
exp_0405	binding	emsa	cell_line
exp_0406	binding	emsa	cell_line
exp_0407	binding	chip	not_applicable
exp_0408	binding	chip	not_applicable
exp_0409	binding	chip	not_applicable
exp_0411	binding	chip	not_applicable
exp_0421	binding	chip	not_applicable
exp_0423	binding	chip	not_applicable
exp_0425	binding	chip	not_applicable
exp_0427	binding	chip	not_applicable
exp_0428	binding	emsa	unknown
exp_0431	binding	emsa	unknown
exp_0456	binding	chip	not_applicable
exp_0457	binding	emsa	cell_line
exp_0460	binding	chip	not_applicable
exp_0464	binding	chip	not_applicable
exp_0468	binding	chip	not_applicable
exp_0472	binding	chip	not_applicable
exp_0476	binding	chip	not_applicable
exp_0479	binding	chip	not_applicable
exp_0480	binding	chip	not_applicable
exp_0481	binding	emsa	cell_line
exp_0483	binding	chip	not_applicable
exp_0484	binding	chip	not_applicable
exp_0485	binding	emsa	cell_line
exp_0488	binding	chip	not_applicable
exp_0489	binding	chip	not_applicable
exp_0492	binding	chip	not_applicable
exp_0494	binding	chip	not_applicable
exp_0508	binding	chip	not_applicable
exp_0509	binding	chip	not_applicable
exp_0510	binding	emsa	cell_line
exp_0511	binding	emsa	cell_line
exp_0516	binding	chip	not_applicable
exp_0518	binding	chip	not_applicable
exp_0521	binding	chip	not_applicable
exp_0524	binding	chip	not_applicable
exp_0526	binding	chip	not_applicable
exp_0528	binding	chip	not_applicable
exp_0529	binding	emsa	cell_line
exp_0530	binding	chip	not_applicable
exp_0535	binding	chip	not_applicable
exp_0539	binding	chip	not_applicable
exp_0542	binding	chip	not_applicable
exp_0543	binding	emsa	primary_tissue
exp_0544	binding	chip	not_applicable
exp_0546	binding	chip	not_applicable
exp_0549	binding	chip	not_applicable
exp_0552	binding	chip	not_applicable
exp_0555	binding	chip	not_applicable
exp_0557	binding	chip	not_applicable
exp_0559	binding	chip	not_applicable
exp_0561	binding	chip	not_applicable
exp_0563	binding	chip	not_applicable
exp_0564	binding	emsa	cell_line
exp_0580	binding	chip	not_applicable
exp_0588	binding	emsa	cell_line
exp_0589	binding	emsa	cell_line
exp_0590	binding	emsa	cell_line
exp_0591	binding	emsa	cell_line
exp_0598	binding	emsa	unknown
exp_0603	binding	emsa	unknown
exp_0613	binding	chip	not_applicable
exp_0614	binding	emsa	cell_line
exp_0617	binding	chip	not_applicable
exp_0618	binding	emsa	cell_line
exp_0619	binding	emsa	cell_line
exp_0620	binding	chip	not_applicable
exp_0623	binding	chip	not_applicable
exp_0624	binding	emsa	unknown
exp_0625	binding	chip	not_applicable
exp_0626	binding	chip	not_applicable
exp_0627	binding	chip	not_applicable
exp_0628	binding	emsa	cell_line
exp_0632	binding	emsa	unknown
exp_0636	binding	emsa	cell_line
exp_0640	binding	chip	not_applicable
exp_0641	binding	chip	not_applicable
exp_0642	binding	emsa	unknown
exp_0647	binding	chip	not_applicable
exp_0648	binding	emsa	unknown
exp_0653	binding	chip	not_applicable
exp_0654	binding	emsa	primary_tissue
exp_0656	binding	chip	not_applicable
exp_0657	binding	emsa	primary_tissue
exp_0660	binding	emsa	primary_tissue
exp_0663	binding	chip	not_applicable
exp_0666	binding	chip	not_applicable
exp_0668	binding	chip	not_applicable
exp_0670	binding	chip	not_applicable
exp_0671	binding	emsa	primary_tissue
exp_0676	binding	chip	not_applicable
exp_0678	binding	emsa	unknown
exp_0689	binding	chip	not_applicable
exp_0690	binding	emsa	cell_line
exp_0691	binding	emsa	cell_line
exp_0698	binding	chip	not_applicable
exp_0699	binding	emsa	cell_line
exp_0700	binding	chip	not_applicable
exp_0701	binding	emsa	cell_line
exp_0702	binding	chip	not_applicable
exp_0703	binding	emsa	cell_line
exp_0706	binding	chip	not_applicable
exp_0707	binding	emsa	cell_line
exp_0709	binding	chip	not_applicable
exp_0710	binding	emsa	cell_line
exp_0712	binding	chip	not_applicable
exp_0713	binding	chip	not_applicable
exp_0714	binding	emsa	cell_line
exp_0717	binding	emsa	cell_line
exp_0718	binding	emsa	primary_cell
exp_0719	binding	emsa	cell_line
exp_0723	binding	emsa	cell_line
exp_0735	binding	chip	not_applicable
exp_0736	binding	emsa	cell_line
exp_0738	binding	emsa	unknown
exp_0740	binding	chip	not_applicable
exp_0741	binding	chip	not_applicable
exp_0742	binding	emsa	cell_line
exp_0747	binding	emsa	unknown
exp_0753	binding	chip	not_applicable
exp_0754	binding	emsa	unknown
exp_0757	binding	emsa	unknown
exp_0758	binding	chip	not_applicable
exp_0759	binding	chip	not_applicable
exp_0760	binding	chip	not_applicable
exp_0761	binding	emsa	cell_line
exp_0764	binding	chip	not_applicable
exp_0765	binding	emsa	cell_line
exp_0767	binding	chip	not_applicable
exp_0770	binding	chip	not_applicable
exp_0771	binding	emsa	primary_tissue
exp_0774	binding	chip	not_applicable
exp_0775	binding	emsa	cell_line
exp_0784	binding	chip	not_applicable
exp_0787	binding	chip	not_applicable
exp_0790	binding	chip	not_applicable
exp_0791	binding	chip	not_applicable
exp_0792	binding	emsa	cell_line
exp_0794	binding	chip	not_applicable
exp_0796	binding	chip	not_applicable
exp_0798	binding	chip	not_applicable
exp_0800	binding	chip	not_applicable
exp_0802	binding	chip	not_applicable
exp_0805	binding	chip	not_applicable
exp_0806	binding	emsa	unknown
exp_0809	binding	chip	not_applicable
exp_0811	binding	chip	not_applicable
exp_0814	binding	chip	not_applicable
exp_0817	binding	chip	not_applicable
exp_0818	binding	emsa	cell_line
exp_0822	binding	chip	not_applicable
exp_0824	binding	chip	not_applicable
exp_0825	binding	emsa	primary_cell
exp_0838	binding	chip	not_applicable
exp_0840	binding	emsa	cell_line
exp_0842	binding	chip	not_applicable
exp_0845	binding	chip	not_applicable
exp_0846	binding	emsa	primary_tissue
exp_0852	binding	chip	not_applicable
exp_0853	binding	emsa	cell_line
exp_0854	binding	chip	not_applicable
exp_0855	binding	emsa	cell_line
exp_0863	binding	chip	not_applicable
exp_0864	binding	emsa	cell_line
exp_0867	binding	chip	not_applicable
exp_0868	binding	emsa	cell_line
exp_0871	binding	chip	not_applicable
exp_0874	binding	chip	not_applicable
exp_0879	binding	chip	not_applicable
exp_0880	binding	emsa	primary_cell
exp_0882	binding	chip	not_applicable
exp_0885	binding	chip	not_applicable
exp_0888	binding	chip	not_applicable
exp_0892	binding	chip	not_applicable
exp_0893	binding	emsa	unknown
exp_0899	binding	chip	not_applicable
exp_0900	binding	emsa	cell_line
exp_0902	binding	chip	not_applicable
exp_0903	binding	emsa	unknown
exp_0905	binding	chip	not_applicable
exp_0909	binding	chip	not_applicable
exp_0910	binding	emsa	unknown
exp_0917	binding	chip	not_applicable
exp_0922	binding	chip	not_applicable
exp_0924	binding	chip	not_applicable
exp_0925	binding	emsa	cell_line
exp_0927	binding	chip	not_applicable
exp_0928	binding	emsa	cell_line
exp_0929	binding	chip	not_applicable
