Experiment_ID	Experiment_Type	Method	TF_Source_Type
exp_2048	binding	chip	not_applicable
exp_2049	binding	chip	not_applicable
exp_2050	binding	chip	not_applicable
exp_2051	binding	chip	not_applicable
exp_2052	binding	chip	not_applicable
exp_2053	binding	chip	not_applicable
exp_2054	binding	chip	not_applicable
exp_2055	binding	chip	not_applicable
exp_2057	binding	chip	not_applicable
exp_2059	binding	chip	not_applicable
exp_2061	binding	chip	not_applicable
exp_2062	binding	chip	not_applicable
exp_2067	binding	emsa	cell_line
exp_2069	binding	chip	not_applicable
exp_2073	binding	chip	not_applicable
exp_2076	binding	chip	not_applicable
exp_2078	binding	chip	not_applicable
exp_2080	binding	chip	not_applicable
exp_2082	binding	chip	not_applicable
exp_2084	binding	chip	not_applicable
exp_2088	binding	chip	not_applicable
exp_2092	binding	chip	not_applicable
exp_2098	binding	chip	not_applicable
exp_2100	binding	chip	not_applicable
exp_2103	binding	chip	not_applicable
exp_2105	binding	chip	not_applicable
exp_2108	binding	chip	not_applicable
