record_id	node	label	n_experiment
exp_2867	UBERON_0005423	developing anatomical structure	81
exp_1071	UBERON_0005423	developing anatomical structure	81
exp_0874	UBERON_0005423	developing anatomical structure	81
exp_0876	UBERON_0005423	developing anatomical structure	81
exp_3683	UBERON_0005423	developing anatomical structure	81
exp_2453	UBERON_0005423	developing anatomical structure	81
exp_0480	UBERON_0005423	developing anatomical structure	81
exp_1110	UBERON_0005423	developing anatomical structure	81
exp_0484	UBERON_0005423	developing anatomical structure	81
exp_1112	UBERON_0005423	developing anatomical structure	81
exp_0488	UBERON_0005423	developing anatomical structure	81
exp_3019	UBERON_0005423	developing anatomical structure	81
exp_3020	UBERON_0005423	developing anatomical structure	81
exp_0877	UBERON_0005423	developing anatomical structure	81
exp_0768	UBERON_0005423	developing anatomical structure	81
exp_2627	UBERON_0005423	developing anatomical structure	81
exp_1159	UBERON_0005423	developing anatomical structure	81
exp_1168	UBERON_0005423	developing anatomical structure	81
exp_1169	UBERON_0005423	developing anatomical structure	81
exp_1156	UBERON_0005423	developing anatomical structure	81
exp_1170	UBERON_0005423	developing anatomical structure	81
exp_1171	UBERON_0005423	developing anatomical structure	81
exp_3293	UBERON_0005423	developing anatomical structure	81
exp_3294	UBERON_0005423	developing anatomical structure	81
exp_3289	UBERON_0005423	developing anatomical structure	81
exp_3290	UBERON_0005423	developing anatomical structure	81
exp_2749	UBERON_0005423	developing anatomical structure	81
exp_0354	UBERON_0005423	developing anatomical structure	81
exp_1002	UBERON_0005423	developing anatomical structure	81
exp_0352	UBERON_0005423	developing anatomical structure	81
exp_1121	UBERON_0005423	developing anatomical structure	81
exp_1165	UBERON_0005423	developing anatomical structure	81
exp_1162	UBERON_0005423	developing anatomical structure	81
exp_0346	UBERON_0005423	developing anatomical structure	81
exp_2629	UBERON_0005423	developing anatomical structure	81
exp_1520	UBERON_0005423	developing anatomical structure	81
exp_2419	UBERON_0005423	developing anatomical structure	81
exp_1122	UBERON_0005423	developing anatomical structure	81
exp_0769	UBERON_0005423	developing anatomical structure	81
exp_2454	UBERON_0005423	developing anatomical structure	81
exp_3713	UBERON_0000922	embryo	82
exp_3716	UBERON_0000922	embryo	82
exp_0743	UBERON_0000922	embryo	82
exp_3401	UBERON_0000922	embryo	82
exp_0633	UBERON_0000922	embryo	82
exp_1115	UBERON_0000922	embryo	82
exp_3594	UBERON_0000922	embryo	82
exp_3540	UBERON_0000922	embryo	82
exp_2765	UBERON_0000922	embryo	82
exp_0713	UBERON_0000922	embryo	82
exp_0652	UBERON_0000922	embryo	82
exp_0649	UBERON_0000922	embryo	82
exp_0650	UBERON_0000922	embryo	82
exp_3024	UBERON_0000922	embryo	82
exp_2746	UBERON_0000922	embryo	82
exp_0959	UBERON_0000922	embryo	82
exp_0962	UBERON_0000922	embryo	82
exp_3911	UBERON_0000922	embryo	82
exp_3455	UBERON_0000922	embryo	82
exp_3816	UBERON_0000922	embryo	82
exp_3820	UBERON_0000922	embryo	82
exp_3838	UBERON_0000922	embryo	82
exp_3824	UBERON_0000922	embryo	82
exp_3828	UBERON_0000922	embryo	82
exp_3822	UBERON_0000922	embryo	82
exp_3833	UBERON_0000922	embryo	82
exp_3831	UBERON_0000922	embryo	82
exp_3836	UBERON_0000922	embryo	82
exp_3834	UBERON_0000922	embryo	82
exp_3829	UBERON_0000922	embryo	82
exp_3835	UBERON_0000922	embryo	82
exp_3830	UBERON_0000922	embryo	82
exp_3837	UBERON_0000922	embryo	82
exp_3832	UBERON_0000922	embryo	82
exp_2864	UBERON_0000922	embryo	82
exp_2867	UBERON_0000922	embryo	82
exp_1071	UBERON_0000922	embryo	82
exp_0874	UBERON_0000922	embryo	82
exp_0876	UBERON_0000922	embryo	82
exp_2453	UBERON_0000922	embryo	82
exp_0480	UBERON_0000922	embryo	82
exp_1110	UBERON_0000922	embryo	82
exp_0484	UBERON_0000922	embryo	82
exp_1112	UBERON_0000922	embryo	82
exp_0488	UBERON_0000922	embryo	82
exp_3019	UBERON_0000922	embryo	82
exp_3020	UBERON_0000922	embryo	82
exp_0877	UBERON_0000922	embryo	82
exp_0768	UBERON_0000922	embryo	82
exp_2627	UBERON_0000922	embryo	82
exp_1159	UBERON_0000922	embryo	82
exp_1168	UBERON_0000922	embryo	82
exp_1156	UBERON_0000922	embryo	82
exp_1170	UBERON_0000922	embryo	82
exp_3293	UBERON_0000922	embryo	82
exp_3294	UBERON_0000922	embryo	82
exp_3289	UBERON_0000922	embryo	82
exp_3290	UBERON_0000922	embryo	82
exp_2749	UBERON_0000922	embryo	82
exp_0354	UBERON_0000922	embryo	82
exp_1002	UBERON_0000922	embryo	82
exp_0352	UBERON_0000922	embryo	82
exp_1165	UBERON_0000922	embryo	82
exp_1162	UBERON_0000922	embryo	82
exp_0346	UBERON_0000922	embryo	82
exp_2629	UBERON_0000922	embryo	82
exp_1520	UBERON_0000922	embryo	82
exp_0769	UBERON_0000922	embryo	82
exp_2454	UBERON_0000922	embryo	82
exp_3636	UBERON_0004120	mesoderm-derived structure	128
exp_0831	UBERON_0004120	mesoderm-derived structure	128
exp_0829	UBERON_0004120	mesoderm-derived structure	128
