ChildNode	ParentNode	ChildNode_Long	ParentNode_Long	RelationType	OntologyScope
TGEMO_00086	TGEMO_00000	http://purl.obolibrary.org/obo/TGEMO_00086	http://purl.obolibrary.org/obo/TGEMO_00000	is_a	TGEMO
TGEMO_00085	TGEMO_00015	http://purl.obolibrary.org/obo/TGEMO_00085	http://purl.obolibrary.org/obo/TGEMO_00015	is_a	TGEMO
TGEMO_00008	TGEMO_00002	http://purl.obolibrary.org/obo/TGEMO_00008	http://purl.obolibrary.org/obo/TGEMO_00002	is_a	TGEMO
TGEMO_00007	TGEMO_00002	http://purl.obolibrary.org/obo/TGEMO_00007	http://purl.obolibrary.org/obo/TGEMO_00002	is_a	TGEMO
TGEMO_00009	TGEMO_00002	http://purl.obolibrary.org/obo/TGEMO_00009	http://purl.obolibrary.org/obo/TGEMO_00002	is_a	TGEMO
TGEMO_00004	TGEMO_00002	http://purl.obolibrary.org/obo/TGEMO_00004	http://purl.obolibrary.org/obo/TGEMO_00002	is_a	TGEMO
TGEMO_00003	TGEMO_00002	http://purl.obolibrary.org/obo/TGEMO_00003	http://purl.obolibrary.org/obo/TGEMO_00002	is_a	TGEMO
TGEMO_00006	TGEMO_00004	http://purl.obolibrary.org/obo/TGEMO_00006	http://purl.obolibrary.org/obo/TGEMO_00004	is_a	TGEMO
TGEMO_00005	TGEMO_00004	http://purl.obolibrary.org/obo/TGEMO_00005	http://purl.obolibrary.org/obo/TGEMO_00004	is_a	TGEMO
TGEMO_00033	TGEMO_00020	http://purl.obolibrary.org/obo/TGEMO_00033	http://purl.obolibrary.org/obo/TGEMO_00020	is_a	TGEMO
TGEMO_00032	TGEMO_00011	http://purl.obolibrary.org/obo/TGEMO_00032	http://purl.obolibrary.org/obo/TGEMO_00011	is_a	TGEMO
TGEMO_00035	TGEMO_00034	http://purl.obolibrary.org/obo/TGEMO_00035	http://purl.obolibrary.org/obo/TGEMO_00034	is_a	TGEMO
TGEMO_00034	TGEMO_00015	http://purl.obolibrary.org/obo/TGEMO_00034	http://purl.obolibrary.org/obo/TGEMO_00015	is_a	TGEMO
TGEMO_00031	TGEMO_00030	http://purl.obolibrary.org/obo/TGEMO_00031	http://purl.obolibrary.org/obo/TGEMO_00030	is_a	TGEMO
TGEMO_00030	TGEMO_00029	http://purl.obolibrary.org/obo/TGEMO_00030	http://purl.obolibrary.org/obo/TGEMO_00029	is_a	TGEMO
TGEMO_00037	TGEMO_00016	http://purl.obolibrary.org/obo/TGEMO_00037	http://purl.obolibrary.org/obo/TGEMO_00016	is_a	TGEMO
TGEMO_00036	TGEMO_00035	http://purl.obolibrary.org/obo/TGEMO_00036	http://purl.obolibrary.org/obo/TGEMO_00035	is_a	TGEMO
TGEMO_00039	TGEMO_00038	http://purl.obolibrary.org/obo/TGEMO_00039	http://purl.obolibrary.org/obo/TGEMO_00038	is_a	TGEMO
TGEMO_00038	TGEMO_00015	http://purl.obolibrary.org/obo/TGEMO_00038	http://purl.obolibrary.org/obo/TGEMO_00015	is_a	TGEMO
TGEMO_00022	TGEMO_00011	http://purl.obolibrary.org/obo/TGEMO_00022	http://purl.obolibrary.org/obo/TGEMO_00011	is_a	TGEMO
TGEMO_00021	TGEMO_00011	http://purl.obolibrary.org/obo/TGEMO_00021	http://purl.obolibrary.org/obo/TGEMO_00011	is_a	TGEMO
TGEMO_00024	TGEMO_00023	http://purl.obolibrary.org/obo/TGEMO_00024	http://purl.obolibrary.org/obo/TGEMO_00023	is_a	TGEMO
TGEMO_00023	TGEMO_00015	http://purl.obolibrary.org/obo/TGEMO_00023	http://purl.obolibrary.org/obo/TGEMO_00015	is_a	TGEMO
TGEMO_00020	TGEMO_00011	http://purl.obolibrary.org/obo/TGEMO_00020	http://purl.obolibrary.org/obo/TGEMO_00011	is_a	TGEMO
TGEMO_00029	TGEMO_00027	http://purl.obolibrary.org/obo/TGEMO_00029	http://purl.obolibrary.org/obo/TGEMO_00027	is_a	TGEMO
TGEMO_00026	TGEMO_00015	http://purl.obolibrary.org/obo/TGEMO_00026	http://purl.obolibrary.org/obo/TGEMO_00015	is_a	TGEMO
TGEMO_00025	TGEMO_00015	http://purl.obolibrary.org/obo/TGEMO_00025	http://purl.obolibrary.org/obo/TGEMO_00015	is_a	TGEMO
TGEMO_00028	TGEMO_00026	http://purl.obolibrary.org/obo/TGEMO_00028	http://purl.obolibrary.org/obo/TGEMO_00026	is_a	TGEMO
TGEMO_00027	TGEMO_00015	http://purl.obolibrary.org/obo/TGEMO_00027	http://purl.obolibrary.org/obo/TGEMO_00015	is_a	TGEMO
