Node	Node_Long	Definition	OntologyScope
UBERON_0022248	http://purl.obolibrary.org/obo/UBERON_0022248	cerebral nerve fasciculus	UBERON
UBERON_0011591	http://purl.obolibrary.org/obo/UBERON_0011591	tract of diencephalon	UBERON
UBERON_0011590	http://purl.obolibrary.org/obo/UBERON_0011590	commissure of diencephalon	UBERON
UBERON_0010260	http://purl.obolibrary.org/obo/UBERON_0010260	umbilical blood vessel	UBERON
UBERON_0035562	http://purl.obolibrary.org/obo/UBERON_0035562	intermediate pretectal nucleus	UBERON
UBERON_0011595	http://purl.obolibrary.org/obo/UBERON_0011595	jaw region	UBERON
UBERON_0035561	http://purl.obolibrary.org/obo/UBERON_0035561	styliform element	UBERON
UBERON_0011594	http://purl.obolibrary.org/obo/UBERON_0011594	dentary tooth	UBERON
UBERON_0010264	http://purl.obolibrary.org/obo/UBERON_0010264	hepatopancreas	UBERON
UBERON_0011593	http://purl.obolibrary.org/obo/UBERON_0011593	maxillary tooth	UBERON
UBERON_0035564	http://purl.obolibrary.org/obo/UBERON_0035564	parvocellular superficial pretectal nucleus	UBERON
UBERON_0010262	http://purl.obolibrary.org/obo/UBERON_0010262	operculum of brain	UBERON
UBERON_0035563	http://purl.obolibrary.org/obo/UBERON_0035563	magnocellular superficial pretectal nucleus	UBERON
UBERON_0011592	http://purl.obolibrary.org/obo/UBERON_0011592	future upper lip	UBERON
UBERON_0011599	http://purl.obolibrary.org/obo/UBERON_0011599	lenticular process of incus bone	UBERON
UBERON_0035566	http://purl.obolibrary.org/obo/UBERON_0035566	central pretectal nucleus	UBERON
UBERON_0011598	http://purl.obolibrary.org/obo/UBERON_0011598	coronoid bone	UBERON
UBERON_0035565	http://purl.obolibrary.org/obo/UBERON_0035565	caudal pretectal nucleus	UBERON
UBERON_0035568	http://purl.obolibrary.org/obo/UBERON_0035568	superficial pretectal nucleus	UBERON
UBERON_0010265	http://purl.obolibrary.org/obo/UBERON_0010265	mollusc hepatopancreas	UBERON
UBERON_0011597	http://purl.obolibrary.org/obo/UBERON_0011597	bone of upper jaw	UBERON
UBERON_0011596	http://purl.obolibrary.org/obo/UBERON_0011596	future lower lip	UBERON
UBERON_0035567	http://purl.obolibrary.org/obo/UBERON_0035567	accessory pretectal nucleus	UBERON
UBERON_0010266	http://purl.obolibrary.org/obo/UBERON_0010266	arthropod hepatopancreas	UBERON
