Node	Node_Long	Definition	OntologyScope
UBERON_2001850	http://purl.obolibrary.org/obo/UBERON_2001850	ceratohyal-branchiostegal ray joint	UBERON
UBERON_2001842	http://purl.obolibrary.org/obo/UBERON_2001842	epihyal-ceratohyal joint	UBERON
UBERON_2000510	http://purl.obolibrary.org/obo/UBERON_2000510	external levatores	UBERON
UBERON_2001841	http://purl.obolibrary.org/obo/UBERON_2001841	interhyal-epihyal joint	UBERON
UBERON_2001844	http://purl.obolibrary.org/obo/UBERON_2001844	ceratohyal-ventral hypohyal joint	UBERON
UBERON_0010258	http://purl.obolibrary.org/obo/UBERON_0010258	mesenchyme from rhombencephalic neural crest	UBERON
UBERON_0010259	http://purl.obolibrary.org/obo/UBERON_0010259	1st arch mesenchyme from neural crest	UBERON
UBERON_2001843	http://purl.obolibrary.org/obo/UBERON_2001843	ceratohyal-dorsal hypohyal joint	UBERON
UBERON_0011589	http://purl.obolibrary.org/obo/UBERON_0011589	non-mineralized cartilage tissue	UBERON
UBERON_2000512	http://purl.obolibrary.org/obo/UBERON_2000512	facial lobe	UBERON
UBERON_2001846	http://purl.obolibrary.org/obo/UBERON_2001846	inter-ventral hypohyal joint	UBERON
UBERON_2001845	http://purl.obolibrary.org/obo/UBERON_2001845	dorsal hypohyal-ventral hypohyal joint	UBERON
UBERON_2000517	http://purl.obolibrary.org/obo/UBERON_2000517	glossopharyngeal lobe	UBERON
UBERON_2001848	http://purl.obolibrary.org/obo/UBERON_2001848	ventral hypohyal-urohyal joint	UBERON
UBERON_0022250	http://purl.obolibrary.org/obo/UBERON_0022250	subcallosal fasciculus	UBERON
UBERON_2000516	http://purl.obolibrary.org/obo/UBERON_2000516	periventricular grey zone	UBERON
UBERON_2001847	http://purl.obolibrary.org/obo/UBERON_2001847	dorsal hypohyal-urohyal joint	UBERON
UBERON_0022252	http://purl.obolibrary.org/obo/UBERON_0022252	precentral sulcus	UBERON
UBERON_2001849	http://purl.obolibrary.org/obo/UBERON_2001849	epihyal-branchiostegal ray joint	UBERON
UBERON_0022254	http://purl.obolibrary.org/obo/UBERON_0022254	ventral thalamic fasciculus	UBERON
UBERON_0022256	http://purl.obolibrary.org/obo/UBERON_0022256	subthalamic fasciculus	UBERON
UBERON_0022258	http://purl.obolibrary.org/obo/UBERON_0022258	endolemniscal nucleus	UBERON
UBERON_0022259	http://purl.obolibrary.org/obo/UBERON_0022259	white matter radiation	UBERON
UBERON_0011580	http://purl.obolibrary.org/obo/UBERON_0011580	platypus crural gland	UBERON
UBERON_0035570	http://purl.obolibrary.org/obo/UBERON_0035570	tectothalamic tract	UBERON
UBERON_0011584	http://purl.obolibrary.org/obo/UBERON_0011584	zeugopodial skeleton	UBERON
UBERON_0035573	http://purl.obolibrary.org/obo/UBERON_0035573	dorsal pretectal periventricular nucleus	UBERON
UBERON_0010252	http://purl.obolibrary.org/obo/UBERON_0010252	1st arch mandibular mesenchyme from neural crest	UBERON
UBERON_0035572	http://purl.obolibrary.org/obo/UBERON_0035572	nucleus praetectalis profundus	UBERON
UBERON_0010253	http://purl.obolibrary.org/obo/UBERON_0010253	1st arch maxillary mesenchyme from neural crest	UBERON
UBERON_0011583	http://purl.obolibrary.org/obo/UBERON_0011583	stylopodial skeleton	UBERON
UBERON_0011582	http://purl.obolibrary.org/obo/UBERON_0011582	paired limb/fin skeleton	UBERON
UBERON_0035575	http://purl.obolibrary.org/obo/UBERON_0035575	paracommissural nucleus of solitary tract	UBERON
UBERON_0010250	http://purl.obolibrary.org/obo/UBERON_0010250	middle meningeal artery	UBERON
UBERON_0011581	http://purl.obolibrary.org/obo/UBERON_0011581	platypus calcaneus spur	UBERON
UBERON_0010251	http://purl.obolibrary.org/obo/UBERON_0010251	anterior meningeal artery	UBERON
UBERON_0035574	http://purl.obolibrary.org/obo/UBERON_0035574	ventral pretectal periventricular nucleus	UBERON
UBERON_0035577	http://purl.obolibrary.org/obo/UBERON_0035577	paracommissural periventricular pretectal nucleus	UBERON
UBERON_0011588	http://purl.obolibrary.org/obo/UBERON_0011588	pre-enamel	UBERON
UBERON_0010256	http://purl.obolibrary.org/obo/UBERON_0010256	4th arch mesenchyme from neural crest	UBERON
UBERON_0010257	http://purl.obolibrary.org/obo/UBERON_0010257	6th arch mesenchyme from neural crest	UBERON
UBERON_0011587	http://purl.obolibrary.org/obo/UBERON_0011587	pre-dentine	UBERON
UBERON_0010254	http://purl.obolibrary.org/obo/UBERON_0010254	2nd arch mesenchyme from neural crest	UBERON
UBERON_2001840	http://purl.obolibrary.org/obo/UBERON_2001840	tip	UBERON
UBERON_0011585	http://purl.obolibrary.org/obo/UBERON_0011585	cell condensation	UBERON
UBERON_0010255	http://purl.obolibrary.org/obo/UBERON_0010255	3rd arch mesenchyme from neural crest	UBERON
UBERON_0010249	http://purl.obolibrary.org/obo/UBERON_0010249	posterior meningeal artery	UBERON
UBERON_2001831	http://purl.obolibrary.org/obo/UBERON_2001831	pterosphenoid-orbitosphenoid joint	UBERON
UBERON_2000500	http://purl.obolibrary.org/obo/UBERON_2000500	dorsal erector muscle	UBERON
UBERON_0035569	http://purl.obolibrary.org/obo/UBERON_0035569	periventricular pretectal nucleus	UBERON
UBERON_2001830	http://purl.obolibrary.org/obo/UBERON_2001830	caudal fin ventral procurrent ray	UBERON
UBERON_2000502	http://purl.obolibrary.org/obo/UBERON_2000502	dorsal motor nucleus trigeminal nerve	UBERON
UBERON_2001833	http://purl.obolibrary.org/obo/UBERON_2001833	premaxillary tooth row	UBERON
UBERON_0010247	http://purl.obolibrary.org/obo/UBERON_0010247	choroidal tapetum cellulosum	UBERON
UBERON_0011579	http://purl.obolibrary.org/obo/UBERON_0011579	venom gland	UBERON
UBERON_2001832	http://purl.obolibrary.org/obo/UBERON_2001832	parasphenoid-basioccipital joint	UBERON
UBERON_0010248	http://purl.obolibrary.org/obo/UBERON_0010248	choroidal tapetum fibrosum	UBERON
UBERON_2000504	http://purl.obolibrary.org/obo/UBERON_2000504	dorsal retractor	UBERON
UBERON_2000503	http://purl.obolibrary.org/obo/UBERON_2000503	dorsal oblique branchial muscle	UBERON
UBERON_0022260	http://purl.obolibrary.org/obo/UBERON_0022260	radiation of cerebral hemisphere	UBERON
UBERON_2000508	http://purl.obolibrary.org/obo/UBERON_2000508	pelvic fin radial bone	UBERON
UBERON_2000507	http://purl.obolibrary.org/obo/UBERON_2000507	epineural	UBERON
UBERON_0022262	http://purl.obolibrary.org/obo/UBERON_0022262	auditory radiation	UBERON
UBERON_0022264	http://purl.obolibrary.org/obo/UBERON_0022264	optic radiation	UBERON
UBERON_0022268	http://purl.obolibrary.org/obo/UBERON_0022268	planum temporale	UBERON
UBERON_0035580	http://purl.obolibrary.org/obo/UBERON_0035580	nucleus geniculatus of pretectum	UBERON
UBERON_0035582	http://purl.obolibrary.org/obo/UBERON_0035582	nucleus posteriodorsalis of pretectum	UBERON
UBERON_0035581	http://purl.obolibrary.org/obo/UBERON_0035581	nucleus lentiformis of pretectum	UBERON
UBERON_0035584	http://purl.obolibrary.org/obo/UBERON_0035584	ventral pretectal nucleus (sauropsida)	UBERON
UBERON_0010241	http://purl.obolibrary.org/obo/UBERON_0010241	molar gland	UBERON
UBERON_0010242	http://purl.obolibrary.org/obo/UBERON_0010242	anterior buccal gland	UBERON
UBERON_0035583	http://purl.obolibrary.org/obo/UBERON_0035583	nucleus lentiformis thalamus	UBERON
UBERON_0035586	http://purl.obolibrary.org/obo/UBERON_0035586	nucleus lentiformis mesencephali (Aves)	UBERON
UBERON_0010240	http://purl.obolibrary.org/obo/UBERON_0010240	zygomatic gland	UBERON
UBERON_0035585	http://purl.obolibrary.org/obo/UBERON_0035585	tectal gray nucleus (Testudines)	UBERON
UBERON_2000540	http://purl.obolibrary.org/obo/UBERON_2000540	magnocellular octaval nucleus	UBERON
UBERON_0010245	http://purl.obolibrary.org/obo/UBERON_0010245	retinal tapetum lucidum	UBERON
UBERON_0035588	http://purl.obolibrary.org/obo/UBERON_0035588	subpretectal complex of Aves	UBERON
UBERON_0011577	http://purl.obolibrary.org/obo/UBERON_0011577	flexural organ	UBERON
UBERON_2001871	http://purl.obolibrary.org/obo/UBERON_2001871	Weberian ossicle set	UBERON
UBERON_0010246	http://purl.obolibrary.org/obo/UBERON_0010246	choroidal guanine tapetum	UBERON
UBERON_0035587	http://purl.obolibrary.org/obo/UBERON_0035587	nucleus pretectalis diffusus	UBERON
UBERON_0011576	http://purl.obolibrary.org/obo/UBERON_0011576	supraorbital ridge	UBERON
UBERON_2001870	http://purl.obolibrary.org/obo/UBERON_2001870	supraneural 3 cartilage	UBERON
UBERON_2001873	http://purl.obolibrary.org/obo/UBERON_2001873	head sensory canal system	UBERON
UBERON_0011575	http://purl.obolibrary.org/obo/UBERON_0011575	styloid process of ulna	UBERON
UBERON_0010243	http://purl.obolibrary.org/obo/UBERON_0010243	merocrine gland	UBERON
UBERON_2000542	http://purl.obolibrary.org/obo/UBERON_2000542	medial column	UBERON
UBERON_0010244	http://purl.obolibrary.org/obo/UBERON_0010244	choroid tapetum lucidum	UBERON
UBERON_0011574	http://purl.obolibrary.org/obo/UBERON_0011574	mesonephric duct lumen	UBERON
UBERON_2001872	http://purl.obolibrary.org/obo/UBERON_2001872	trunk sensory canal system	UBERON
UBERON_0035589	http://purl.obolibrary.org/obo/UBERON_0035589	nucleus subpretectalis	UBERON
UBERON_0010238	http://purl.obolibrary.org/obo/UBERON_0010238	torus pylorus	UBERON
UBERON_2001864	http://purl.obolibrary.org/obo/UBERON_2001864	basibranchial 1 cartilage	UBERON
UBERON_0010239	http://purl.obolibrary.org/obo/UBERON_0010239	spiral colon	UBERON
UBERON_2001863	http://purl.obolibrary.org/obo/UBERON_2001863	inter-hypobranchial 3 joint	UBERON
UBERON_2000532	http://purl.obolibrary.org/obo/UBERON_2000532	lateral division	UBERON
UBERON_2001866	http://purl.obolibrary.org/obo/UBERON_2001866	basibranchial 5 cartilage	UBERON
UBERON_2001865	http://purl.obolibrary.org/obo/UBERON_2001865	basibranchial 4 cartilage	UBERON
UBERON_2001867	http://purl.obolibrary.org/obo/UBERON_2001867	post-ceratobranchial cartilage	UBERON
UBERON_0022272	http://purl.obolibrary.org/obo/UBERON_0022272	corticobulbar tract	UBERON
UBERON_2001869	http://purl.obolibrary.org/obo/UBERON_2001869	supraneural 2 cartilage	UBERON
UBERON_0022271	http://purl.obolibrary.org/obo/UBERON_0022271	corticopontine fibers	UBERON
UBERON_0022274	http://purl.obolibrary.org/obo/UBERON_0022274	lacrimal papilla	UBERON
UBERON_0022273	http://purl.obolibrary.org/obo/UBERON_0022273	lacrimal lake	UBERON
UBERON_0022276	http://purl.obolibrary.org/obo/UBERON_0022276	splenic flexure of colon	UBERON
UBERON_0022275	http://purl.obolibrary.org/obo/UBERON_0022275	colic flexure	UBERON
UBERON_0022278	http://purl.obolibrary.org/obo/UBERON_0022278	nucleus of pudendal nerve	UBERON
UBERON_0022277	http://purl.obolibrary.org/obo/UBERON_0022277	hepatic flexure of colon	UBERON
UBERON_0022279	http://purl.obolibrary.org/obo/UBERON_0022279	strand of hair on external ear	UBERON
UBERON_0035591	http://purl.obolibrary.org/obo/UBERON_0035591	lateral spiriform nucleus	UBERON
UBERON_0035590	http://purl.obolibrary.org/obo/UBERON_0035590	nucleus interstitio-pretectalis-subpretectalis	UBERON
UBERON_0035593	http://purl.obolibrary.org/obo/UBERON_0035593	nucleus circularis of pretectum	UBERON
UBERON_0035592	http://purl.obolibrary.org/obo/UBERON_0035592	medial spiriform nucleus	UBERON
UBERON_0010230	http://purl.obolibrary.org/obo/UBERON_0010230	eyeball of camera-type eye	UBERON
UBERON_0035595	http://purl.obolibrary.org/obo/UBERON_0035595	accessory optic tract	UBERON
UBERON_0035594	http://purl.obolibrary.org/obo/UBERON_0035594	accessory optic system	UBERON
UBERON_0010231	http://purl.obolibrary.org/obo/UBERON_0010231	anatomical line between outer ears	UBERON
UBERON_0035597	http://purl.obolibrary.org/obo/UBERON_0035597	profundal placode	UBERON
UBERON_0035596	http://purl.obolibrary.org/obo/UBERON_0035596	circular nucleus of antherior hypothalamic nucleus	UBERON
UBERON_0010234	http://purl.obolibrary.org/obo/UBERON_0010234	palatopharyngeus muscle	UBERON
UBERON_0011566	http://purl.obolibrary.org/obo/UBERON_0011566	lumen of esophagus	UBERON
UBERON_0035599	http://purl.obolibrary.org/obo/UBERON_0035599	profundal part of trigeminal ganglion complex	UBERON
UBERON_2001860	http://purl.obolibrary.org/obo/UBERON_2001860	epibranchial 4-upper pharyngeal toothplate joint	UBERON
UBERON_0011565	http://purl.obolibrary.org/obo/UBERON_0011565	lumen of gastrointestinal system	UBERON
UBERON_0010235	http://purl.obolibrary.org/obo/UBERON_0010235	uvular muscle	UBERON
UBERON_0035598	http://purl.obolibrary.org/obo/UBERON_0035598	maxillomandibular placode	UBERON
UBERON_2001862	http://purl.obolibrary.org/obo/UBERON_2001862	epibranchial 3-pharyngobranchial 4 joint	UBERON
UBERON_0011564	http://purl.obolibrary.org/obo/UBERON_0011564	adductor pollicis muscle of prepollex	UBERON
UBERON_0010232	http://purl.obolibrary.org/obo/UBERON_0010232	placodal ectoderm	UBERON
UBERON_0010233	http://purl.obolibrary.org/obo/UBERON_0010233	stroma of thyroid gland	UBERON
UBERON_2001861	http://purl.obolibrary.org/obo/UBERON_2001861	epibranchial 3-pharyngobranchial 3 joint	UBERON
UBERON_2000530	http://purl.obolibrary.org/obo/UBERON_2000530	lapillus	UBERON
UBERON_2001853	http://purl.obolibrary.org/obo/UBERON_2001853	postcleithrum 2	UBERON
UBERON_0010227	http://purl.obolibrary.org/obo/UBERON_0010227	future cardiac atrium	UBERON
UBERON_2000522	http://purl.obolibrary.org/obo/UBERON_2000522	inferior hyohyoid	UBERON
UBERON_0010228	http://purl.obolibrary.org/obo/UBERON_0010228	ruminal fluid	UBERON
UBERON_2001852	http://purl.obolibrary.org/obo/UBERON_2001852	postcleithrum 1	UBERON
UBERON_0010225	http://purl.obolibrary.org/obo/UBERON_0010225	thalamic complex	UBERON
UBERON_2001855	http://purl.obolibrary.org/obo/UBERON_2001855	hyomandibular condyle for the opercle	UBERON
UBERON_2001854	http://purl.obolibrary.org/obo/UBERON_2001854	postcleithrum 3	UBERON
UBERON_2000523	http://purl.obolibrary.org/obo/UBERON_2000523	inferior reticular formation	UBERON
UBERON_2000526	http://purl.obolibrary.org/obo/UBERON_2000526	intermuscular bone	UBERON
UBERON_0022281	http://purl.obolibrary.org/obo/UBERON_0022281	epithelium of crypt of Lieberkuhn of large intestine	UBERON
UBERON_2001857	http://purl.obolibrary.org/obo/UBERON_2001857	hyoidean artery	UBERON
UBERON_2000525	http://purl.obolibrary.org/obo/UBERON_2000525	intercalarium	UBERON
UBERON_2001856	http://purl.obolibrary.org/obo/UBERON_2001856	gill ray	UBERON
UBERON_0022280	http://purl.obolibrary.org/obo/UBERON_0022280	epithelium of crypt of Lieberkuhn of small intestine	UBERON
UBERON_0022283	http://purl.obolibrary.org/obo/UBERON_0022283	pineal recess of third ventricle	UBERON
UBERON_0010229	http://purl.obolibrary.org/obo/UBERON_0010229	ruminant esophageal groove	UBERON
UBERON_2000528	http://purl.obolibrary.org/obo/UBERON_2000528	interradialis	UBERON
UBERON_2001859	http://purl.obolibrary.org/obo/UBERON_2001859	pharyngobranchial 1 tooth plate	UBERON
UBERON_2001858	http://purl.obolibrary.org/obo/UBERON_2001858	suprapharyngobranchial	UBERON
UBERON_2000527	http://purl.obolibrary.org/obo/UBERON_2000527	pharyngobranchial bone	UBERON
UBERON_0022282	http://purl.obolibrary.org/obo/UBERON_0022282	secretion of Harderian gland	UBERON
UBERON_0022285	http://purl.obolibrary.org/obo/UBERON_0022285	strand of tylotrich hair	UBERON
UBERON_0022284	http://purl.obolibrary.org/obo/UBERON_0022284	lacrimal gland bud	UBERON
UBERON_0022287	http://purl.obolibrary.org/obo/UBERON_0022287	tear film	UBERON
UBERON_0022286	http://purl.obolibrary.org/obo/UBERON_0022286	secretion of nictitans gland	UBERON
UBERON_0022288	http://purl.obolibrary.org/obo/UBERON_0022288	surface of eyeball	UBERON
UBERON_0035520	http://purl.obolibrary.org/obo/UBERON_0035520	anterior mediastinal lymph node	UBERON
UBERON_2001893	http://purl.obolibrary.org/obo/UBERON_2001893	hypobranchial element	UBERON
UBERON_2001892	http://purl.obolibrary.org/obo/UBERON_2001892	interhyal element	UBERON
UBERON_2001895	http://purl.obolibrary.org/obo/UBERON_2001895	hypobranchial 2 element	UBERON
UBERON_2000564	http://purl.obolibrary.org/obo/UBERON_2000564	pelvic abductor profundus	UBERON
UBERON_0035523	http://purl.obolibrary.org/obo/UBERON_0035523	anterior surface of prostate	UBERON
UBERON_2001894	http://purl.obolibrary.org/obo/UBERON_2001894	hypobranchial 1 element	UBERON
UBERON_2001886	http://purl.obolibrary.org/obo/UBERON_2001886	neural spine 2	UBERON
UBERON_2000555	http://purl.obolibrary.org/obo/UBERON_2000555	opercular flap	UBERON
UBERON_2001885	http://purl.obolibrary.org/obo/UBERON_2001885	neural spine 1	UBERON
UBERON_0035514	http://purl.obolibrary.org/obo/UBERON_0035514	special sense organ system	UBERON
UBERON_2001888	http://purl.obolibrary.org/obo/UBERON_2001888	supraneural 1 bone	UBERON
UBERON_2000557	http://purl.obolibrary.org/obo/UBERON_2000557	preural 1 vertebra	UBERON
UBERON_2001887	http://purl.obolibrary.org/obo/UBERON_2001887	neural spine 3	UBERON
UBERON_2001889	http://purl.obolibrary.org/obo/UBERON_2001889	supraneural 1 cartilage	UBERON
UBERON_2000558	http://purl.obolibrary.org/obo/UBERON_2000558	posterior macula	UBERON
UBERON_0023541	http://purl.obolibrary.org/obo/UBERON_0023541	conical papilla	UBERON
UBERON_0010292	http://purl.obolibrary.org/obo/UBERON_0010292	episcleral layer of eyeball	UBERON
UBERON_0010293	http://purl.obolibrary.org/obo/UBERON_0010293	suprachoroid lamina	UBERON
UBERON_0010290	http://purl.obolibrary.org/obo/UBERON_0010290	scleral ossicle	UBERON
UBERON_0010291	http://purl.obolibrary.org/obo/UBERON_0010291	layer of sclera	UBERON
UBERON_0010296	http://purl.obolibrary.org/obo/UBERON_0010296	scleral skeletal element	UBERON
UBERON_0010297	http://purl.obolibrary.org/obo/UBERON_0010297	endochondral scleral ossicle	UBERON
UBERON_0010294	http://purl.obolibrary.org/obo/UBERON_0010294	scleral endothelium	UBERON
UBERON_2001880	http://purl.obolibrary.org/obo/UBERON_2001880	rib of vertebra 3	UBERON
UBERON_0010295	http://purl.obolibrary.org/obo/UBERON_0010295	substantia propria of sclera	UBERON
UBERON_0035530	http://purl.obolibrary.org/obo/UBERON_0035530	basal vein	UBERON
UBERON_2001882	http://purl.obolibrary.org/obo/UBERON_2001882	parapophysis + rib of vertebra 3	UBERON
UBERON_2000551	http://purl.obolibrary.org/obo/UBERON_2000551	nucleus lateralis valvulae	UBERON
UBERON_0035532	http://purl.obolibrary.org/obo/UBERON_0035532	deep middle cerebral vein	UBERON
UBERON_2001881	http://purl.obolibrary.org/obo/UBERON_2001881	rib of vertebra 4	UBERON
UBERON_0010298	http://purl.obolibrary.org/obo/UBERON_0010298	intramembranous scleral ossicle	UBERON
UBERON_2001884	http://purl.obolibrary.org/obo/UBERON_2001884	accessory neural arch	UBERON
UBERON_0010299	http://purl.obolibrary.org/obo/UBERON_0010299	scleral mesenchyme	UBERON
UBERON_2001883	http://purl.obolibrary.org/obo/UBERON_2001883	parapophysis + rib of vertebra 3 + rib of vertebra 4	UBERON
UBERON_2000544	http://purl.obolibrary.org/obo/UBERON_2000544	pectoral fin actinotrichium	UBERON
UBERON_2001875	http://purl.obolibrary.org/obo/UBERON_2001875	opercular series	UBERON
UBERON_0035526	http://purl.obolibrary.org/obo/UBERON_0035526	superficial fibular nerve	UBERON
UBERON_2001874	http://purl.obolibrary.org/obo/UBERON_2001874	basibranchial 2 cartilage	UBERON
UBERON_2001877	http://purl.obolibrary.org/obo/UBERON_2001877	neural arch 1	UBERON
UBERON_2001876	http://purl.obolibrary.org/obo/UBERON_2001876	basibranchial 3 cartilage	UBERON
UBERON_2001879	http://purl.obolibrary.org/obo/UBERON_2001879	rib of vertebra 1	UBERON
UBERON_0035529	http://purl.obolibrary.org/obo/UBERON_0035529	left common iliac artery	UBERON
UBERON_2001878	http://purl.obolibrary.org/obo/UBERON_2001878	rib of vertebra 2	UBERON
UBERON_2000549	http://purl.obolibrary.org/obo/UBERON_2000549	posttemporal	UBERON
UBERON_0022229	http://purl.obolibrary.org/obo/UBERON_0022229	posterior amygdaloid nucleus	UBERON
UBERON_0009291	http://purl.obolibrary.org/obo/UBERON_0009291	cartilaginous vertebral centrum	UBERON
UBERON_0009292	http://purl.obolibrary.org/obo/UBERON_0009292	embryonic nasal process	UBERON
UBERON_0009293	http://purl.obolibrary.org/obo/UBERON_0009293	embryonic frontal process	UBERON
UBERON_0010285	http://purl.obolibrary.org/obo/UBERON_0010285	midbrain basal plate	UBERON
UBERON_2000580	http://purl.obolibrary.org/obo/UBERON_2000580	rostral preglomerular nucleus	UBERON
UBERON_0010286	http://purl.obolibrary.org/obo/UBERON_0010286	midbrain neural tube	UBERON
UBERON_2000582	http://purl.obolibrary.org/obo/UBERON_2000582	saccus dorsalis	UBERON
UBERON_0010283	http://purl.obolibrary.org/obo/UBERON_0010283	oblique pericardial sinus	UBERON
UBERON_0035542	http://purl.obolibrary.org/obo/UBERON_0035542	upper inner quadrant of breast	UBERON
UBERON_2000581	http://purl.obolibrary.org/obo/UBERON_2000581	rostral tuberal nucleus	UBERON
UBERON_0010284	http://purl.obolibrary.org/obo/UBERON_0010284	lacrimal punctum	UBERON
UBERON_0010289	http://purl.obolibrary.org/obo/UBERON_0010289	scleral cartilage	UBERON
UBERON_2000586	http://purl.obolibrary.org/obo/UBERON_2000586	preural 2 vertebra	UBERON
UBERON_0010287	http://purl.obolibrary.org/obo/UBERON_0010287	motor root of facial nerve	UBERON
UBERON_0035546	http://purl.obolibrary.org/obo/UBERON_0035546	uveal vein	UBERON
UBERON_2000585	http://purl.obolibrary.org/obo/UBERON_2000585	kinethmoid cartilage	UBERON
UBERON_0035545	http://purl.obolibrary.org/obo/UBERON_0035545	deep lymphatic vessel	UBERON
UBERON_0035536	http://purl.obolibrary.org/obo/UBERON_0035536	body of gallbladder	UBERON
UBERON_2000576	http://purl.obolibrary.org/obo/UBERON_2000576	pterotic	UBERON
UBERON_2000579	http://purl.obolibrary.org/obo/UBERON_2000579	rostral mesencephalo-cerebellar tract	UBERON
UBERON_0035539	http://purl.obolibrary.org/obo/UBERON_0035539	esophageal artery	UBERON
UBERON_0022230	http://purl.obolibrary.org/obo/UBERON_0022230	retrohippocampal region	UBERON
UBERON_0022232	http://purl.obolibrary.org/obo/UBERON_0022232	secondary visual cortex	UBERON
UBERON_0022234	http://purl.obolibrary.org/obo/UBERON_0022234	medial longitudinal stria	UBERON
UBERON_0022236	http://purl.obolibrary.org/obo/UBERON_0022236	peduncle of thalamus	UBERON
UBERON_0023564	http://purl.obolibrary.org/obo/UBERON_0023564	cytoarchitectural part of dentate gyrus	UBERON
UBERON_0022235	http://purl.obolibrary.org/obo/UBERON_0022235	peduncle of diencephalon	UBERON
UBERON_0022237	http://purl.obolibrary.org/obo/UBERON_0022237	anterior thalamic peduncle	UBERON
UBERON_0010270	http://purl.obolibrary.org/obo/UBERON_0010270	filum terminale externum	UBERON
UBERON_0010271	http://purl.obolibrary.org/obo/UBERON_0010271	musculus retractor bulbi	UBERON
UBERON_0035551	http://purl.obolibrary.org/obo/UBERON_0035551	deep vasculature	UBERON
UBERON_0035550	http://purl.obolibrary.org/obo/UBERON_0035550	superficial vein	UBERON
UBERON_0010272	http://purl.obolibrary.org/obo/UBERON_0010272	hyoid apparatus	UBERON
UBERON_0035553	http://purl.obolibrary.org/obo/UBERON_0035553	left cardiac chamber	UBERON
UBERON_0010273	http://purl.obolibrary.org/obo/UBERON_0010273	zone of hyoid bone	UBERON
UBERON_0035552	http://purl.obolibrary.org/obo/UBERON_0035552	deep vein	UBERON
UBERON_2000573	http://purl.obolibrary.org/obo/UBERON_2000573	internal cellular layer	UBERON
UBERON_0035555	http://purl.obolibrary.org/obo/UBERON_0035555	lateral line sense organ	UBERON
UBERON_0010279	http://purl.obolibrary.org/obo/UBERON_0010279	pericardial sinus	UBERON
UBERON_0035554	http://purl.obolibrary.org/obo/UBERON_0035554	right cardiac chamber	UBERON
UBERON_0010276	http://purl.obolibrary.org/obo/UBERON_0010276	space in vertebral column	UBERON
UBERON_0010277	http://purl.obolibrary.org/obo/UBERON_0010277	mesocardium	UBERON
UBERON_2001897	http://purl.obolibrary.org/obo/UBERON_2001897	hypobranchial 4 element	UBERON
UBERON_0035548	http://purl.obolibrary.org/obo/UBERON_0035548	colic artery	UBERON
UBERON_0035547	http://purl.obolibrary.org/obo/UBERON_0035547	posterior ciliary vein	UBERON
UBERON_2001896	http://purl.obolibrary.org/obo/UBERON_2001896	hypobranchial 3 element	UBERON
UBERON_0010269	http://purl.obolibrary.org/obo/UBERON_0010269	filum terminale internum	UBERON
UBERON_2001899	http://purl.obolibrary.org/obo/UBERON_2001899	ceratobranchial 1 element	UBERON
UBERON_0035549	http://purl.obolibrary.org/obo/UBERON_0035549	vasculature of integument	UBERON
