ChildNode	ParentNode	ChildNode_Long	ParentNode_Long	RelationType	OntologyScope
OBI_0001665	OBI_0001993	http://purl.obolibrary.org/obo/OBI_0001665	http://purl.obolibrary.org/obo/OBI_0001993	is_a	OBI
OBI_0001664	OBI_0001810	http://purl.obolibrary.org/obo/OBI_0001664	http://purl.obolibrary.org/obo/OBI_0001810	is_a	OBI
OBI_0001667	OBI_0001537	http://purl.obolibrary.org/obo/OBI_0001667	http://purl.obolibrary.org/obo/OBI_0001537	is_a	OBI
OBI_0001666	OBI_0001994	http://purl.obolibrary.org/obo/OBI_0001666	http://purl.obolibrary.org/obo/OBI_0001994	is_a	OBI
OBI_0001669	OBI_0001146	http://purl.obolibrary.org/obo/OBI_0001669	http://purl.obolibrary.org/obo/OBI_0001146	is_a	OBI
OBI_0000338	OBI_0000011	http://purl.obolibrary.org/obo/OBI_0000338	http://purl.obolibrary.org/obo/OBI_0000011	is_a	OBI
OBI_0001668	OBI_0001146	http://purl.obolibrary.org/obo/OBI_0001668	http://purl.obolibrary.org/obo/OBI_0001146	is_a	OBI
OBI_0001659	OBI_0001703	http://purl.obolibrary.org/obo/OBI_0001659	http://purl.obolibrary.org/obo/OBI_0001703	is_a	OBI
PATO_0000033	PATO_0002182	http://purl.obolibrary.org/obo/PATO_0000033	http://purl.obolibrary.org/obo/PATO_0002182	is_a	OBI
GO_0071609	GO_0032602	http://purl.obolibrary.org/obo/GO_0071609	http://purl.obolibrary.org/obo/GO_0032602	is_a	OBI
GO_0071608	GO_0032602	http://purl.obolibrary.org/obo/GO_0071608	http://purl.obolibrary.org/obo/GO_0032602	is_a	OBI
GO_0071607	GO_0032602	http://purl.obolibrary.org/obo/GO_0071607	http://purl.obolibrary.org/obo/GO_0032602	is_a	OBI
GO_0071606	GO_0032602	http://purl.obolibrary.org/obo/GO_0071606	http://purl.obolibrary.org/obo/GO_0032602	is_a	OBI
GO_0071605	GO_0032602	http://purl.obolibrary.org/obo/GO_0071605	http://purl.obolibrary.org/obo/GO_0032602	is_a	OBI
GO_0071604	GO_0001816	http://purl.obolibrary.org/obo/GO_0071604	http://purl.obolibrary.org/obo/GO_0001816	is_a	OBI
CHMO_0000701	OBI_0200198	http://purl.obolibrary.org/obo/CHMO_0000701	http://purl.obolibrary.org/obo/OBI_0200198	is_a	OBI
OBI_0001601	OBI_0001237	http://purl.obolibrary.org/obo/OBI_0001601	http://purl.obolibrary.org/obo/OBI_0001237	is_a	OBI
OBI_0001600	OBI_1110129	http://purl.obolibrary.org/obo/OBI_0001600	http://purl.obolibrary.org/obo/OBI_1110129	is_a	OBI
OBI_0001603	OBI_0001144	http://purl.obolibrary.org/obo/OBI_0001603	http://purl.obolibrary.org/obo/OBI_0001144	is_a	OBI
OBI_0001603	OBI_0001554	http://purl.obolibrary.org/obo/OBI_0001603	http://purl.obolibrary.org/obo/OBI_0001554	is_a	OBI
OBI_0001602	OBI_0001550	http://purl.obolibrary.org/obo/OBI_0001602	http://purl.obolibrary.org/obo/OBI_0001550	is_a	OBI
PATO_0001300	PATO_0001291	http://purl.obolibrary.org/obo/PATO_0001300	http://purl.obolibrary.org/obo/PATO_0001291	is_a	OBI
UBERON_0000479	UBERON_0000465	http://purl.obolibrary.org/obo/UBERON_0000479	http://purl.obolibrary.org/obo/UBERON_0000465	is_a	OBI
OBI_0001610	OBI_0001363	http://purl.obolibrary.org/obo/OBI_0001610	http://purl.obolibrary.org/obo/OBI_0001363	is_a	OBI
OBI_0001612	OBI_0001193	http://purl.obolibrary.org/obo/OBI_0001612	http://purl.obolibrary.org/obo/OBI_0001193	is_a	OBI
OBI_0001612	GO_0010573	http://purl.obolibrary.org/obo/OBI_0001612	http://purl.obolibrary.org/obo/GO_0010573	is_a	OBI
OBI_0001614	IAO_0000577	http://purl.obolibrary.org/obo/OBI_0001614	http://purl.obolibrary.org/obo/IAO_0000577	is_a	OBI
OBI_0001614	IAO_0000578	http://purl.obolibrary.org/obo/OBI_0001614	http://purl.obolibrary.org/obo/IAO_0000578	part_of	OBI
OBI_0001613	OBI_0001992	http://purl.obolibrary.org/obo/OBI_0001613	http://purl.obolibrary.org/obo/OBI_0001992	is_a	OBI
OBI_0001605	OBI_0001144	http://purl.obolibrary.org/obo/OBI_0001605	http://purl.obolibrary.org/obo/OBI_0001144	is_a	OBI
OBI_0001605	OBI_0001554	http://purl.obolibrary.org/obo/OBI_0001605	http://purl.obolibrary.org/obo/OBI_0001554	is_a	OBI
OBI_0001604	OBI_0001555	http://purl.obolibrary.org/obo/OBI_0001604	http://purl.obolibrary.org/obo/OBI_0001555	is_a	OBI
OBI_0001607	OBI_0001400	http://purl.obolibrary.org/obo/OBI_0001607	http://purl.obolibrary.org/obo/OBI_0001400	is_a	OBI
UBERON_0000481	UBERON_0000465	http://purl.obolibrary.org/obo/UBERON_0000481	http://purl.obolibrary.org/obo/UBERON_0000465	is_a	OBI
OBI_0001606	OBI_0001550	http://purl.obolibrary.org/obo/OBI_0001606	http://purl.obolibrary.org/obo/OBI_0001550	is_a	OBI
OBI_0001609	OBI_0001218	http://purl.obolibrary.org/obo/OBI_0001609	http://purl.obolibrary.org/obo/OBI_0001218	is_a	OBI
OBI_0001608	OBI_0001555	http://purl.obolibrary.org/obo/OBI_0001608	http://purl.obolibrary.org/obo/OBI_0001555	is_a	OBI
CHEBI_33250	BFO_0000040	http://purl.obolibrary.org/obo/CHEBI_33250	http://purl.obolibrary.org/obo/BFO_0000040	is_a	OBI
UBERON_0000483	UBERON_0000479	http://purl.obolibrary.org/obo/UBERON_0000483	http://purl.obolibrary.org/obo/UBERON_0000479	is_a	OBI
OBI_0001621	IAO_0000109	http://purl.obolibrary.org/obo/OBI_0001621	http://purl.obolibrary.org/obo/IAO_0000109	is_a	OBI
OBI_0001620	IAO_0000109	http://purl.obolibrary.org/obo/OBI_0001620	http://purl.obolibrary.org/obo/IAO_0000109	is_a	OBI
OBI_0001623	OBI_0000015	http://purl.obolibrary.org/obo/OBI_0001623	http://purl.obolibrary.org/obo/OBI_0000015	is_a	OBI
OBI_0001622	OBI_0001898	http://purl.obolibrary.org/obo/OBI_0001622	http://purl.obolibrary.org/obo/OBI_0001898	is_a	OBI
OBI_0001625	IAO_0000064	http://purl.obolibrary.org/obo/OBI_0001625	http://purl.obolibrary.org/obo/IAO_0000064	is_a	OBI
OBI_0001624	OBI_0000070	http://purl.obolibrary.org/obo/OBI_0001624	http://purl.obolibrary.org/obo/OBI_0000070	is_a	OBI
OBI_0001616	IAO_0000577	http://purl.obolibrary.org/obo/OBI_0001616	http://purl.obolibrary.org/obo/IAO_0000577	is_a	OBI
OBI_0001616	IAO_0000578	http://purl.obolibrary.org/obo/OBI_0001616	http://purl.obolibrary.org/obo/IAO_0000578	part_of	OBI
OBI_0001615	OBI_0001898	http://purl.obolibrary.org/obo/OBI_0001615	http://purl.obolibrary.org/obo/OBI_0001898	is_a	OBI
OBI_0001618	OBI_0000679	http://purl.obolibrary.org/obo/OBI_0001618	http://purl.obolibrary.org/obo/OBI_0000679	is_a	OBI
OBI_0001617	IAO_0000577	http://purl.obolibrary.org/obo/OBI_0001617	http://purl.obolibrary.org/obo/IAO_0000577	is_a	OBI
OBI_0001617	IAO_0000578	http://purl.obolibrary.org/obo/OBI_0001617	http://purl.obolibrary.org/obo/IAO_0000578	part_of	OBI
OBI_0001619	IAO_0000416	http://purl.obolibrary.org/obo/OBI_0001619	http://purl.obolibrary.org/obo/IAO_0000416	is_a	OBI
GO_0071613	GO_0008150	http://purl.obolibrary.org/obo/GO_0071613	http://purl.obolibrary.org/obo/GO_0008150	is_a	OBI
GO_0071612	GO_0032602	http://purl.obolibrary.org/obo/GO_0071612	http://purl.obolibrary.org/obo/GO_0032602	is_a	OBI
GO_0071611	GO_0001816	http://purl.obolibrary.org/obo/GO_0071611	http://purl.obolibrary.org/obo/GO_0001816	is_a	OBI
UBERON_0000477	BFO_0000040	http://purl.obolibrary.org/obo/UBERON_0000477	http://purl.obolibrary.org/obo/BFO_0000040	is_a	OBI
GO_0071610	GO_0032602	http://purl.obolibrary.org/obo/GO_0071610	http://purl.obolibrary.org/obo/GO_0032602	is_a	OBI
GO_0019882	GO_0008150	http://purl.obolibrary.org/obo/GO_0019882	http://purl.obolibrary.org/obo/GO_0008150	is_a	OBI
UBERON_0000473	UBERON_0000465	http://purl.obolibrary.org/obo/UBERON_0000473	http://purl.obolibrary.org/obo/UBERON_0000465	is_a	OBI
OBI_0000381	OBI_0000378	http://purl.obolibrary.org/obo/OBI_0000381	http://purl.obolibrary.org/obo/OBI_0000378	is_a	OBI
OBI_0000380	OBI_0000378	http://purl.obolibrary.org/obo/OBI_0000380	http://purl.obolibrary.org/obo/OBI_0000378	is_a	OBI
OBI_0000383	BFO_0000034	http://purl.obolibrary.org/obo/OBI_0000383	http://purl.obolibrary.org/obo/BFO_0000034	is_a	OBI
OBI_0000385	BFO_0000034	http://purl.obolibrary.org/obo/OBI_0000385	http://purl.obolibrary.org/obo/BFO_0000034	is_a	OBI
OBI_0000384	OBI_0000391	http://purl.obolibrary.org/obo/OBI_0000384	http://purl.obolibrary.org/obo/OBI_0000391	is_a	OBI
OBI_0000387	BFO_0000034	http://purl.obolibrary.org/obo/OBI_0000387	http://purl.obolibrary.org/obo/BFO_0000034	is_a	OBI
OBI_0000389	OBI_0002089	http://purl.obolibrary.org/obo/OBI_0000389	http://purl.obolibrary.org/obo/OBI_0002089	is_a	OBI
OBI_0000388	BFO_0000034	http://purl.obolibrary.org/obo/OBI_0000388	http://purl.obolibrary.org/obo/BFO_0000034	is_a	OBI
OBI_0000390	OBI_0002089	http://purl.obolibrary.org/obo/OBI_0000390	http://purl.obolibrary.org/obo/OBI_0002089	is_a	OBI
OBI_0000392	BFO_0000034	http://purl.obolibrary.org/obo/OBI_0000392	http://purl.obolibrary.org/obo/BFO_0000034	is_a	OBI
OBI_0000391	BFO_0000034	http://purl.obolibrary.org/obo/OBI_0000391	http://purl.obolibrary.org/obo/BFO_0000034	is_a	OBI
GO_0001788	GO_0008150	http://purl.obolibrary.org/obo/GO_0001788	http://purl.obolibrary.org/obo/GO_0008150	is_a	OBI
OBI_0000394	OBI_0000968	http://purl.obolibrary.org/obo/OBI_0000394	http://purl.obolibrary.org/obo/OBI_0000968	is_a	OBI
OBI_0000393	OBI_0000392	http://purl.obolibrary.org/obo/OBI_0000393	http://purl.obolibrary.org/obo/OBI_0000392	is_a	OBI
OBI_0000395	OBI_0000393	http://purl.obolibrary.org/obo/OBI_0000395	http://purl.obolibrary.org/obo/OBI_0000393	is_a	OBI
OBI_0000398	OBI_0000832	http://purl.obolibrary.org/obo/OBI_0000398	http://purl.obolibrary.org/obo/OBI_0000832	is_a	OBI
OBI_0000397	OBI_0000453	http://purl.obolibrary.org/obo/OBI_0000397	http://purl.obolibrary.org/obo/OBI_0000453	is_a	OBI
OBI_0000399	BFO_0000034	http://purl.obolibrary.org/obo/OBI_0000399	http://purl.obolibrary.org/obo/BFO_0000034	is_a	OBI
CHEBI_59056	CHEBI_23367	http://purl.obolibrary.org/obo/CHEBI_59056	http://purl.obolibrary.org/obo/CHEBI_23367	is_a	OBI
CHEBI_59055	CHEBI_23367	http://purl.obolibrary.org/obo/CHEBI_59055	http://purl.obolibrary.org/obo/CHEBI_23367	is_a	OBI
CHEBI_59054	CHEBI_23367	http://purl.obolibrary.org/obo/CHEBI_59054	http://purl.obolibrary.org/obo/CHEBI_23367	is_a	OBI
CHEBI_59053	CHEBI_23367	http://purl.obolibrary.org/obo/CHEBI_59053	http://purl.obolibrary.org/obo/CHEBI_23367	is_a	OBI
CHEBI_59052	CHEBI_23367	http://purl.obolibrary.org/obo/CHEBI_59052	http://purl.obolibrary.org/obo/CHEBI_23367	is_a	OBI
CHEBI_59051	CHEBI_23367	http://purl.obolibrary.org/obo/CHEBI_59051	http://purl.obolibrary.org/obo/CHEBI_23367	is_a	OBI
