Experiment_ID	Experiment_Type	Effect	Induced
exp_0554	perturbation	knockdown	not_applicable
exp_0556	perturbation	knockdown	not_applicable
exp_0558	perturbation	knockdown	not_applicable
exp_0560	perturbation	knockdown	not_applicable
exp_0562	perturbation	knockdown	not_applicable
exp_0566	perturbation	knockdown	not_applicable
exp_0567	perturbation	knockdown	not_applicable
exp_0569	perturbation	knockdown	not_applicable
exp_0570	perturbation	hom_knockout	not_applicable
exp_0571	perturbation	hom_knockout	not_applicable
exp_0572	perturbation	hom_knockout	not_applicable
exp_0573	perturbation	hom_knockout	not_applicable
exp_0574	perturbation	hom_knockout	not_applicable
exp_0575	perturbation	hom_knockout	not_applicable
exp_0576	perturbation	hom_knockout	not_applicable
exp_0577	perturbation	hom_knockout	not_applicable
exp_0578	perturbation	hom_knockout	not_applicable
exp_0579	perturbation	hom_knockout	not_applicable
exp_0581	perturbation	overexpression	not_applicable
exp_0583	perturbation	overexpression	not_applicable
exp_0584	perturbation	overexpression	not_applicable
exp_0585	perturbation	overexpression	not_applicable
exp_0586	perturbation	overexpression	not_applicable
exp_0587	perturbation	overexpression	not_applicable
exp_0599	perturbation	overexpression	not_applicable
exp_0615	perturbation	overexpression	not_applicable
exp_0616	perturbation	overexpression	not_applicable
exp_0621	perturbation	overexpression	TRUE
exp_0634	perturbation	hom_knockout	FALSE
exp_0638	perturbation	hom_knockout	FALSE
exp_0646	perturbation	hom_knockout	FALSE
exp_0649	perturbation	hom_knockout	FALSE
exp_0650	perturbation	hom_knockout	FALSE
exp_0652	perturbation	hom_knockout	FALSE
exp_0659	perturbation	knockdown	not_applicable
exp_0662	perturbation	knockdown	not_applicable
exp_0665	perturbation	overexpression	not_applicable
exp_0667	perturbation	knockout	FALSE
exp_0673	perturbation	knockout	FALSE
exp_0674	perturbation	knockout	FALSE
exp_0680	perturbation	overexpression	FALSE
exp_0686	perturbation	overexpression	not_applicable
exp_0687	perturbation	overexpression	not_applicable
exp_0688	perturbation	overexpression	not_applicable
exp_0695	perturbation	overexpression	not_applicable
exp_0729	perturbation	overexpression	not_applicable
exp_0743	perturbation	hom_knockout	FALSE
exp_0744	perturbation	hom_knockout	FALSE
exp_0745	perturbation	hom_knockout	FALSE
exp_0746	perturbation	hom_knockout	FALSE
exp_0749	perturbation	knockout	FALSE
exp_0751	perturbation	overexpression	not_applicable
exp_0756	perturbation	hom_knockout	FALSE
exp_0763	perturbation	knockout	FALSE
exp_0768	perturbation	knockout	FALSE
exp_0769	perturbation	knockout	FALSE
exp_0773	perturbation	hom_knockout	FALSE
exp_0776	perturbation	overexpression	not_applicable
exp_0786	perturbation	knockdown	not_applicable
exp_0789	perturbation	knockdown	not_applicable
exp_0795	perturbation	overexpression	TRUE
exp_0797	perturbation	overexpression	TRUE
exp_0799	perturbation	overexpression	TRUE
exp_0801	perturbation	overexpression	TRUE
exp_0804	perturbation	overexpression	not_applicable
exp_0807	perturbation	knockdown	not_applicable
exp_0813	perturbation	overexpression	TRUE
exp_0816	perturbation	overexpression	TRUE
exp_0820	perturbation	overexpression	TRUE
exp_0821	perturbation	overexpression	TRUE
exp_0827	perturbation	knockdown	not_applicable
exp_0828	perturbation	hom_knockout	FALSE
exp_0829	perturbation	hom_knockout	FALSE
exp_0830	perturbation	hom_knockout	FALSE
exp_0831	perturbation	hom_knockout	FALSE
exp_0832	perturbation	hom_knockout	FALSE
exp_0833	perturbation	hom_knockout	FALSE
exp_0834	perturbation	hom_knockout	FALSE
exp_0837	perturbation	overexpression	TRUE
exp_0844	perturbation	overexpression	TRUE
exp_0847	perturbation	overexpression	TRUE
exp_0849	perturbation	knockdown	not_applicable
exp_0851	perturbation	knockdown	not_applicable
exp_0857	perturbation	knockdown	not_applicable
exp_0873	perturbation	knockdown	not_applicable
exp_0876	perturbation	hom_knockout	FALSE
exp_0877	perturbation	hom_knockout	FALSE
exp_0878	perturbation	overexpression	TRUE
exp_0891	perturbation	overexpression	not_applicable
exp_0895	perturbation	hom_knockout	FALSE
exp_0896	perturbation	overexpression	not_applicable
exp_0897	perturbation	overexpression	not_applicable
exp_0898	perturbation	overexpression	not_applicable
exp_0901	perturbation	hom_knockout	FALSE
exp_0907	perturbation	overexpression	not_applicable
exp_0908	perturbation	knockout	FALSE
exp_0918	perturbation	hom_knockout	FALSE
exp_0919	perturbation	hom_knockout	FALSE
exp_0921	perturbation	knockdown	not_applicable
exp_0923	perturbation	knockdown	not_applicable
exp_0926	perturbation	hom_knockout	FALSE
exp_0939	perturbation	knockout	FALSE
exp_0942	perturbation	hom_knockout	FALSE
exp_0947	perturbation	knockdown	TRUE
exp_0948	perturbation	knockdown	TRUE
exp_0951	perturbation	knockdown	not_applicable
exp_0962	perturbation	hom_knockout	FALSE
exp_0964	perturbation	hom_knockout	FALSE
exp_0978	perturbation	hom_knockout	FALSE
exp_0981	perturbation	hom_knockout	FALSE
exp_0989	perturbation	knockdown	TRUE
exp_0995	perturbation	hom_knockout	TRUE
exp_0996	perturbation	hom_knockout	TRUE
exp_0997	perturbation	hom_knockout	TRUE
exp_0998	perturbation	overexpression	TRUE
exp_1001	perturbation	knockout	FALSE
exp_1005	perturbation	knockdown	not_applicable
exp_1008	perturbation	knockdown	not_applicable
exp_1011	perturbation	knockdown	not_applicable
exp_1014	perturbation	knockdown	not_applicable
exp_1017	perturbation	knockdown	not_applicable
exp_1020	perturbation	knockdown	not_applicable
exp_1023	perturbation	knockdown	not_applicable
exp_1026	perturbation	hom_knockout	FALSE
exp_1030	perturbation	overexpression	not_applicable
exp_1034	perturbation	knockdown	not_applicable
exp_1035	perturbation	knockdown	not_applicable
exp_1038	perturbation	knockdown	TRUE
exp_1043	perturbation	hom_knockout	FALSE
exp_1055	perturbation	hom_knockout	not_applicable
exp_1056	perturbation	hom_knockout	not_applicable
exp_1059	perturbation	knockdown	not_applicable
exp_1062	perturbation	knockdown	not_applicable
exp_1063	perturbation	knockdown	not_applicable
exp_1064	perturbation	knockdown	not_applicable
exp_1065	perturbation	knockdown	not_applicable
exp_1068	perturbation	overexpression	not_applicable
exp_1075	perturbation	knockout	FALSE
exp_1076	perturbation	knockout	FALSE
exp_1083	perturbation	knockdown	not_applicable
exp_1084	perturbation	hom_knockout	FALSE
exp_1085	perturbation	hom_knockout	FALSE
exp_1105	perturbation	overexpression	not_applicable
exp_1106	perturbation	overexpression	not_applicable
exp_1107	perturbation	overexpression	not_applicable
exp_1108	perturbation	overexpression	not_applicable
exp_1109	perturbation	overexpression	not_applicable
exp_1110	perturbation	knockdown	TRUE
exp_1111	perturbation	overexpression	not_applicable
exp_1112	perturbation	knockdown	TRUE
exp_1117	perturbation	knockdown	TRUE
exp_1123	perturbation	overexpression	not_applicable
exp_1124	perturbation	overexpression	not_applicable
exp_1125	perturbation	overexpression	not_applicable
exp_1126	perturbation	overexpression	not_applicable
exp_1127	perturbation	knockdown	not_applicable
exp_1128	perturbation	knockdown	not_applicable
exp_1129	perturbation	hom_knockout	FALSE
exp_1130	perturbation	hom_knockout	FALSE
exp_1131	perturbation	hom_knockout	FALSE
exp_1132	perturbation	hom_knockout	FALSE
exp_1138	perturbation	overexpression	TRUE
exp_1147	perturbation	knockdown	not_applicable
exp_1148	perturbation	knockdown	not_applicable
exp_1149	perturbation	knockdown	not_applicable
exp_1152	perturbation	hom_knockout	FALSE
exp_1153	perturbation	hom_knockout	FALSE
exp_1154	perturbation	hom_knockout	FALSE
exp_1155	perturbation	hom_knockout	FALSE
exp_1168	perturbation	hom_knockout	FALSE
exp_1169	perturbation	hom_knockout	FALSE
exp_1170	perturbation	hom_knockout	FALSE
exp_1171	perturbation	hom_knockout	FALSE
exp_1175	perturbation	hom_knockout	FALSE
exp_1179	perturbation	hom_knockout	FALSE
exp_1180	perturbation	hom_knockout	FALSE
exp_1188	perturbation	knockdown	TRUE
exp_1189	perturbation	knockdown	not_applicable
exp_1199	perturbation	overexpression	TRUE
exp_1200	perturbation	overexpression	not_applicable
exp_1202	perturbation	overexpression	not_applicable
exp_1244	perturbation	knockdown	TRUE
exp_1248	perturbation	knockdown	TRUE
exp_1249	perturbation	knockdown	TRUE
exp_1250	perturbation	knockdown	TRUE
exp_1251	perturbation	knockdown	TRUE
exp_1252	perturbation	knockdown	TRUE
exp_1253	perturbation	knockdown	TRUE
exp_1254	perturbation	knockdown	TRUE
exp_1272	perturbation	knockdown	TRUE
exp_1317	perturbation	overexpression	not_applicable
exp_1324	perturbation	overexpression	not_applicable
exp_1333	perturbation	overexpression	not_applicable
exp_1339	perturbation	overexpression	not_applicable
exp_1344	perturbation	overexpression	not_applicable
exp_1347	perturbation	overexpression	not_applicable
exp_1353	perturbation	overexpression	not_applicable
exp_1359	perturbation	overexpression	not_applicable
exp_1363	perturbation	overexpression	not_applicable
exp_1371	perturbation	knockdown	not_applicable
exp_1372	perturbation	knockdown	not_applicable
exp_1377	perturbation	overexpression	not_applicable
exp_1379	perturbation	overexpression	not_applicable
exp_1381	perturbation	overexpression	not_applicable
exp_1392	perturbation	hom_knockout	FALSE
exp_1393	perturbation	hom_knockout	FALSE
exp_1394	perturbation	hom_knockout	FALSE
exp_1417	perturbation	knockdown	not_applicable
exp_1421	perturbation	knockdown	not_applicable
exp_1422	perturbation	knockdown	not_applicable
exp_1425	perturbation	knockdown	not_applicable
exp_1426	perturbation	knockdown	not_applicable
exp_1429	perturbation	hom_knockout	FALSE
exp_1442	perturbation	overexpression	not_applicable
exp_1445	perturbation	overexpression	not_applicable
exp_1447	perturbation	knockdown	not_applicable
exp_1449	perturbation	knockdown	not_applicable
exp_1453	perturbation	hom_knockout	TRUE
exp_1477	perturbation	knockdown	not_applicable
exp_1479	perturbation	knockdown	not_applicable
exp_1481	perturbation	knockdown	not_applicable
exp_1486	perturbation	knockdown	not_applicable
exp_1487	perturbation	knockdown	not_applicable
exp_1489	perturbation	overexpression	TRUE
exp_1491	perturbation	knockdown	not_applicable
exp_1501	perturbation	overexpression	not_applicable
exp_1503	perturbation	overexpression	not_applicable
exp_1505	perturbation	overexpression	not_applicable
exp_1507	perturbation	overexpression	not_applicable
exp_1509	perturbation	overexpression	TRUE
exp_1520	perturbation	knockdown	TRUE
exp_1525	perturbation	knockdown	not_applicable
exp_1529	perturbation	knockdown	not_applicable
exp_1535	perturbation	overexpression	not_applicable
exp_1539	perturbation	knockdown	not_applicable
exp_1541	perturbation	knockdown	not_applicable
exp_1546	perturbation	overexpression	not_applicable
exp_1548	perturbation	overexpression	not_applicable
exp_1550	perturbation	overexpression	not_applicable
exp_1552	perturbation	overexpression	not_applicable
exp_1554	perturbation	overexpression	not_applicable
exp_1556	perturbation	overexpression	not_applicable
exp_1558	perturbation	overexpression	not_applicable
exp_1560	perturbation	overexpression	not_applicable
exp_1562	perturbation	overexpression	not_applicable
exp_1564	perturbation	overexpression	not_applicable
exp_1566	perturbation	overexpression	not_applicable
exp_1567	perturbation	overexpression	not_applicable
exp_1584	perturbation	overexpression	not_applicable
exp_1585	perturbation	overexpression	not_applicable
exp_1588	perturbation	knockdown	not_applicable
exp_1619	perturbation	overexpression	not_applicable
exp_1620	perturbation	overexpression	not_applicable
exp_1625	perturbation	overexpression	not_applicable
exp_1628	perturbation	overexpression	not_applicable
exp_1629	perturbation	overexpression	not_applicable
exp_1635	perturbation	knockdown	not_applicable
exp_1636	perturbation	knockdown	not_applicable
exp_1639	perturbation	knockdown	not_applicable
exp_1641	perturbation	overexpression	not_applicable
exp_1643	perturbation	overexpression	not_applicable
exp_1675	perturbation	knockdown	not_applicable
exp_1678	perturbation	overexpression	not_applicable
exp_1686	perturbation	overexpression	TRUE
exp_1688	perturbation	overexpression	not_applicable
exp_1695	perturbation	overexpression	not_applicable
exp_1696	perturbation	overexpression	not_applicable
exp_1701	perturbation	overexpression	not_applicable
exp_1702	perturbation	knockdown	not_applicable
exp_1706	perturbation	knockdown	not_applicable
exp_1707	perturbation	knockdown	not_applicable
exp_1710	perturbation	knockdown	TRUE
exp_1713	perturbation	knockdown	not_applicable
exp_1719	perturbation	overexpression	not_applicable
exp_1720	perturbation	overexpression	not_applicable
exp_1722	perturbation	overexpression	not_applicable
exp_1736	perturbation	knockdown	not_applicable
exp_1737	perturbation	knockdown	not_applicable
exp_1738	perturbation	knockdown	not_applicable
exp_1744	perturbation	overexpression	not_applicable
exp_1747	perturbation	overexpression	not_applicable
exp_1750	perturbation	overexpression	not_applicable
exp_1753	perturbation	overexpression	not_applicable
exp_1755	perturbation	knockdown	not_applicable
exp_1758	perturbation	knockdown	not_applicable
exp_1759	perturbation	knockdown	not_applicable
exp_1760	perturbation	hom_knockout	not_applicable
exp_1763	perturbation	knockdown	not_applicable
exp_1766	perturbation	overexpression	not_applicable
exp_1771	perturbation	overexpression	not_applicable
exp_1774	perturbation	overexpression	not_applicable
exp_1779	perturbation	knockdown	not_applicable
exp_1783	perturbation	knockdown	TRUE
exp_1787	perturbation	knockdown	not_applicable
exp_1788	perturbation	knockdown	not_applicable
exp_1789	perturbation	overexpression	not_applicable
exp_1792	perturbation	overexpression	not_applicable
exp_1793	perturbation	knockdown	not_applicable
exp_1794	perturbation	knockdown	not_applicable
exp_1797	perturbation	overexpression	TRUE
exp_1801	perturbation	overexpression	not_applicable
exp_1804	perturbation	overexpression	not_applicable
exp_1807	perturbation	knockdown	not_applicable
exp_1809	perturbation	knockdown	not_applicable
exp_1811	perturbation	knockdown	not_applicable
exp_1818	perturbation	knockdown	not_applicable
exp_1820	perturbation	overexpression	not_applicable
exp_1822	perturbation	overexpression	not_applicable
exp_1824	perturbation	overexpression	not_applicable
exp_1826	perturbation	overexpression	not_applicable
exp_1827	perturbation	overexpression	not_applicable
exp_1828	perturbation	knockdown	not_applicable
exp_1835	perturbation	overexpression	not_applicable
exp_1839	perturbation	overexpression	not_applicable
exp_1840	perturbation	hom_knockout	FALSE
exp_1843	perturbation	knockdown	not_applicable
exp_1844	perturbation	knockdown	not_applicable
exp_1845	perturbation	knockdown	not_applicable
exp_1846	perturbation	knockdown	not_applicable
exp_1847	perturbation	knockdown	not_applicable
exp_1848	perturbation	knockdown	not_applicable
exp_1849	perturbation	knockdown	not_applicable
exp_1850	perturbation	knockdown	TRUE
exp_1851	perturbation	knockdown	TRUE
exp_1852	perturbation	knockdown	TRUE
exp_1853	perturbation	knockdown	TRUE
exp_1854	perturbation	knockdown	TRUE
exp_1855	perturbation	knockdown	TRUE
exp_1856	perturbation	knockdown	not_applicable
exp_1857	perturbation	knockdown	not_applicable
exp_1858	perturbation	knockdown	not_applicable
exp_1867	perturbation	overexpression	not_applicable
exp_1870	perturbation	knockdown	not_applicable
exp_1873	perturbation	knockdown	TRUE
exp_1874	perturbation	knockdown	TRUE
exp_1876	perturbation	overexpression	not_applicable
exp_1878	perturbation	overexpression	not_applicable
exp_1880	perturbation	knockdown	not_applicable
exp_1882	perturbation	knockdown	not_applicable
exp_1884	perturbation	knockdown	not_applicable
exp_1886	perturbation	knockdown	not_applicable
exp_1903	perturbation	knockdown	not_applicable
exp_1904	perturbation	overexpression	not_applicable
exp_1913	perturbation	knockdown	not_applicable
exp_1916	perturbation	overexpression	not_applicable
exp_1919	perturbation	overexpression	not_applicable
exp_1922	perturbation	knockdown	not_applicable
exp_1925	perturbation	knockdown	not_applicable
exp_1926	perturbation	hom_knockout	FALSE
exp_1927	perturbation	hom_knockout	FALSE
exp_1932	perturbation	overexpression	TRUE
exp_1935	perturbation	overexpression	TRUE
exp_1941	perturbation	overexpression	not_applicable
exp_1943	perturbation	overexpression	not_applicable
exp_1947	perturbation	knockdown	not_applicable
exp_1951	perturbation	knockdown	not_applicable
exp_1954	perturbation	knockdown	not_applicable
exp_1956	perturbation	knockdown	not_applicable
exp_1957	perturbation	knockdown	not_applicable
exp_1960	perturbation	knockdown	TRUE
exp_1975	perturbation	overexpression	not_applicable
exp_1978	perturbation	knockdown	not_applicable
exp_1981	perturbation	overexpression	not_applicable
exp_1985	perturbation	knockdown	not_applicable
exp_1986	perturbation	overexpression	not_applicable
exp_1987	perturbation	knockdown	not_applicable
exp_1988	perturbation	overexpression	not_applicable
exp_1989	perturbation	knockdown	not_applicable
exp_1990	perturbation	knockdown	not_applicable
exp_1993	perturbation	overexpression	not_applicable
exp_1996	perturbation	overexpression	not_applicable
exp_1999	perturbation	overexpression	not_applicable
exp_2000	perturbation	overexpression	not_applicable
exp_2002	perturbation	overexpression	not_applicable
exp_2007	perturbation	overexpression	not_applicable
exp_2010	perturbation	knockdown	not_applicable
exp_2011	perturbation	knockdown	not_applicable
exp_2016	perturbation	knockdown	TRUE
exp_2019	perturbation	overexpression	not_applicable
exp_2028	perturbation	overexpression	not_applicable
exp_2029	perturbation	overexpression	not_applicable
exp_2031	perturbation	knockdown	TRUE
exp_2033	perturbation	knockdown	TRUE
exp_2035	perturbation	knockdown	TRUE
exp_2038	perturbation	knockdown	not_applicable
exp_2039	perturbation	knockdown	not_applicable
exp_2040	perturbation	knockdown	not_applicable
exp_2041	perturbation	knockdown	not_applicable
exp_2056	perturbation	overexpression	not_applicable
exp_2058	perturbation	overexpression	not_applicable
exp_2065	perturbation	overexpression	not_applicable
exp_2066	perturbation	overexpression	not_applicable
exp_2071	perturbation	knockdown	not_applicable
exp_2075	perturbation	knockdown	not_applicable
exp_2077	perturbation	knockdown	TRUE
exp_2079	perturbation	knockdown	TRUE
exp_2081	perturbation	knockdown	TRUE
exp_2083	perturbation	knockdown	TRUE
exp_2086	perturbation	knockdown	not_applicable
exp_2087	perturbation	knockdown	not_applicable
exp_2090	perturbation	knockdown	not_applicable
exp_2091	perturbation	knockdown	not_applicable
exp_2094	perturbation	knockdown	not_applicable
exp_2095	perturbation	knockdown	not_applicable
exp_2096	perturbation	overexpression	not_applicable
exp_2097	perturbation	overexpression	not_applicable
exp_2099	perturbation	overexpression	not_applicable
exp_2101	perturbation	knockdown	not_applicable
exp_2102	perturbation	hom_knockout	FALSE
exp_2104	perturbation	knockdown	not_applicable
exp_2107	perturbation	knockdown	not_applicable
exp_2112	perturbation	overexpression	not_applicable
exp_2113	perturbation	overexpression	not_applicable
exp_2115	perturbation	overexpression	not_applicable
exp_2116	perturbation	overexpression	not_applicable
exp_2118	perturbation	overexpression	not_applicable
exp_2120	perturbation	overexpression	not_applicable
exp_2122	perturbation	knockdown	not_applicable
exp_2124	perturbation	knockdown	not_applicable
exp_2126	perturbation	knockdown	not_applicable
exp_2128	perturbation	overexpression	not_applicable
exp_2130	perturbation	knockdown	not_applicable
exp_2131	perturbation	hom_knockout	FALSE
exp_2134	perturbation	overexpression	not_applicable
exp_2139	perturbation	knockdown	not_applicable
exp_2140	perturbation	knockdown	not_applicable
exp_2141	perturbation	knockdown	TRUE
exp_2145	perturbation	knockdown	not_applicable
exp_2149	perturbation	knockdown	not_applicable
exp_2152	perturbation	knockdown	not_applicable
exp_2154	perturbation	knockdown	not_applicable
exp_2157	perturbation	knockdown	not_applicable
exp_2158	perturbation	knockdown	not_applicable
exp_2164	perturbation	knockdown	not_applicable
exp_2165	perturbation	knockdown	not_applicable
exp_2168	perturbation	overexpression	not_applicable
exp_2172	perturbation	knockdown	not_applicable
exp_2174	perturbation	overexpression	not_applicable
exp_2182	perturbation	overexpression	not_applicable
exp_2185	perturbation	knockdown	not_applicable
exp_2187	perturbation	knockdown	not_applicable
exp_2189	perturbation	knockdown	not_applicable
exp_2190	perturbation	knockdown	not_applicable
exp_2191	perturbation	knockdown	not_applicable
exp_2193	perturbation	knockdown	not_applicable
exp_2196	perturbation	overexpression	not_applicable
exp_2199	perturbation	overexpression	not_applicable
exp_2202	perturbation	overexpression	not_applicable
exp_2205	perturbation	knockdown	not_applicable
exp_2211	perturbation	knockdown	TRUE
exp_2212	perturbation	hom_knockout	FALSE
exp_2216	perturbation	knockdown	TRUE
exp_2217	perturbation	hom_knockout	FALSE
exp_2219	perturbation	knockdown	not_applicable
exp_2221	perturbation	knockdown	not_applicable
exp_2223	perturbation	knockdown	not_applicable
exp_2225	perturbation	knockdown	not_applicable
exp_2228	perturbation	overexpression	not_applicable
exp_2229	perturbation	overexpression	not_applicable
exp_2235	perturbation	knockdown	not_applicable
exp_2238	perturbation	knockdown	not_applicable
exp_2239	perturbation	knockdown	not_applicable
exp_2243	perturbation	knockdown	not_applicable
exp_2244	perturbation	knockdown	not_applicable
exp_2245	perturbation	knockdown	not_applicable
exp_2250	perturbation	knockdown	not_applicable
exp_2253	perturbation	knockdown	not_applicable
exp_2256	perturbation	knockdown	not_applicable
exp_2257	perturbation	knockdown	not_applicable
exp_2258	perturbation	knockdown	not_applicable
exp_2261	perturbation	knockdown	not_applicable
exp_2264	perturbation	knockdown	not_applicable
exp_2266	perturbation	knockdown	not_applicable
exp_2267	perturbation	knockdown	not_applicable
exp_2268	perturbation	knockdown	not_applicable
exp_2269	perturbation	overexpression	not_applicable
exp_2272	perturbation	knockdown	not_applicable
