Experiment_ID	Experiment_Type	Mutated	Binding_Verified
exp_0203	reporter	TRUE	emsa
exp_0207	reporter	TRUE	putative
exp_0217	reporter	TRUE	emsa
exp_0222	reporter	TRUE	emsa
exp_0226	reporter	TRUE	putative
exp_0227	reporter	TRUE	putative
exp_0232	reporter	TRUE	putative
exp_0238	reporter	TRUE	emsa
exp_0242	reporter	TRUE	emsa
exp_0245	reporter	TRUE	putative
exp_0250	reporter	TRUE	emsa
exp_0251	reporter	TRUE	putative
exp_0254	reporter	FALSE	not_applicable
exp_0259	reporter	FALSE	not_applicable
exp_0263	reporter	TRUE	emsa
exp_0267	reporter	FALSE	not_applicable
exp_0271	reporter	TRUE	putative
exp_0275	reporter	TRUE	emsa
exp_0279	reporter	TRUE	emsa
exp_0284	reporter	TRUE	emsa
exp_0288	reporter	TRUE	emsa
exp_0301	reporter	TRUE	putative
exp_0302	reporter	TRUE	putative
exp_0305	reporter	TRUE	putative
exp_0310	reporter	TRUE	putative
exp_0319	reporter	FALSE	not_applicable
exp_0325	reporter	TRUE	emsa
exp_0337	reporter	FALSE	not_applicable
exp_0338	reporter	FALSE	not_applicable
exp_0344	reporter	FALSE	not_applicable
exp_0349	reporter	FALSE	not_applicable
exp_0351	reporter	FALSE	not_applicable
exp_0362	reporter	FALSE	not_applicable
exp_0366	reporter	FALSE	not_applicable
exp_0367	reporter	FALSE	not_applicable
exp_0373	reporter	FALSE	not_applicable
exp_0374	reporter	FALSE	not_applicable
