Experiment_ID	Experiment_Type	Mutated	Binding_Verified
exp_1814	reporter	FALSE	not_applicable
exp_1815	reporter	FALSE	not_applicable
exp_1816	reporter	FALSE	not_applicable
exp_1817	reporter	FALSE	not_applicable
exp_1833	reporter	TRUE	emsa
exp_1834	reporter	TRUE	emsa
exp_1837	reporter	TRUE	putative
exp_1838	reporter	TRUE	putative
exp_1842	reporter	TRUE	emsa
exp_1865	reporter	FALSE	not_applicable
exp_1869	reporter	TRUE	putative
exp_1889	reporter	FALSE	not_applicable
exp_1890	reporter	FALSE	not_applicable
exp_1892	reporter	FALSE	not_applicable
exp_1894	reporter	FALSE	not_applicable
exp_1895	reporter	FALSE	not_applicable
exp_1900	reporter	FALSE	not_applicable
exp_1901	reporter	FALSE	not_applicable
exp_1902	reporter	FALSE	not_applicable
exp_1905	reporter	FALSE	not_applicable
exp_1907	reporter	FALSE	not_applicable
exp_1909	reporter	FALSE	not_applicable
exp_1912	reporter	TRUE	putative
exp_1915	reporter	FALSE	not_applicable
exp_1918	reporter	FALSE	not_applicable
exp_1921	reporter	FALSE	not_applicable
exp_1924	reporter	FALSE	not_applicable
exp_1929	reporter	TRUE	putative
exp_1931	reporter	FALSE	not_applicable
exp_1934	reporter	FALSE	not_applicable
exp_1940	reporter	FALSE	not_applicable
exp_1945	reporter	FALSE	not_applicable
exp_1946	reporter	FALSE	not_applicable
exp_1949	reporter	FALSE	not_applicable
exp_1950	reporter	FALSE	not_applicable
exp_1953	reporter	FALSE	not_applicable
exp_1959	reporter	TRUE	putative
exp_1962	reporter	FALSE	not_applicable
exp_1963	reporter	FALSE	not_applicable
exp_1965	reporter	FALSE	not_applicable
exp_1966	reporter	FALSE	not_applicable
exp_1968	reporter	FALSE	not_applicable
exp_1970	reporter	FALSE	not_applicable
exp_1971	reporter	FALSE	not_applicable
exp_1977	reporter	TRUE	putative
exp_1980	reporter	TRUE	putative
exp_1984	reporter	TRUE	putative
exp_1992	reporter	TRUE	putative
exp_1995	reporter	TRUE	putative
exp_1998	reporter	FALSE	not_applicable
exp_2001	reporter	FALSE	not_applicable
exp_2013	reporter	FALSE	not_applicable
exp_2014	reporter	FALSE	not_applicable
exp_2015	reporter	FALSE	not_applicable
exp_2018	reporter	TRUE	putative
exp_2021	reporter	TRUE	putative
exp_2023	reporter	TRUE	putative
exp_2026	reporter	TRUE	putative
exp_2027	reporter	TRUE	putative
exp_2060	reporter	TRUE	putative
exp_2063	reporter	TRUE	putative
exp_2064	reporter	TRUE	putative
exp_2068	reporter	FALSE	not_applicable
exp_2070	reporter	FALSE	not_applicable
exp_2072	reporter	FALSE	not_applicable
exp_2074	reporter	FALSE	not_applicable
exp_2085	reporter	TRUE	putative
exp_2089	reporter	TRUE	putative
exp_2093	reporter	TRUE	putative
exp_2106	reporter	TRUE	putative
exp_2110	reporter	FALSE	not_applicable
exp_2111	reporter	FALSE	not_applicable
exp_2133	reporter	FALSE	not_applicable
exp_2137	reporter	FALSE	not_applicable
exp_2138	reporter	FALSE	not_applicable
exp_2144	reporter	TRUE	putative
exp_2151	reporter	FALSE	not_applicable
exp_2162	reporter	TRUE	putative
exp_2163	reporter	TRUE	putative
exp_2167	reporter	TRUE	putative
exp_2170	reporter	TRUE	putative
exp_2173	reporter	TRUE	putative
exp_2176	reporter	FALSE	not_applicable
exp_2179	reporter	FALSE	not_applicable
exp_2181	reporter	TRUE	putative
exp_2183	reporter	FALSE	not_applicable
exp_2195	reporter	TRUE	putative
exp_2198	reporter	TRUE	putative
exp_2201	reporter	TRUE	putative
exp_2204	reporter	TRUE	putative
exp_2207	reporter	FALSE	not_applicable
exp_2209	reporter	FALSE	not_applicable
exp_2210	reporter	FALSE	not_applicable
exp_2214	reporter	FALSE	not_applicable
