TF_Symbol	TF_Entrez_ID	TF_Ensembl_ID	Lambert	Prev_Curated	SFARI_Score	SFARI_Syndromic	GO_Neurodev	Neurodev_TF	N_Candidate_Paper
PBX1	5087	ENSG00000185630	TRUE	TRUE	3	0	FALSE	TRUE	37
BMP2	650	ENSG00000125845	FALSE	TRUE	0	0	TRUE	TRUE	37
GSK3B	2932	ENSG00000082701	FALSE	TRUE	0	0	TRUE	TRUE	36
IKZF1	10320	ENSG00000185811	TRUE	TRUE	0	0	TRUE	TRUE	35
NEUROD1	4760	ENSG00000162992	TRUE	TRUE	0	0	TRUE	TRUE	34
PAX8	7849	ENSG00000125618	TRUE	TRUE	0	0	TRUE	TRUE	34
NF1	4763	ENSG00000196712	FALSE	TRUE	1	0	TRUE	TRUE	34
RORA	6095	ENSG00000069667	TRUE	TRUE	0	0	TRUE	TRUE	33
NCOA1	8648	ENSG00000084676	TRUE	TRUE	0	0	TRUE	TRUE	33
ID2	3398	ENSG00000115738	FALSE	TRUE	0	0	TRUE	TRUE	33
SIN3A	25942	ENSG00000169375	FALSE	TRUE	1	0	TRUE	TRUE	33
EGR2	1959	ENSG00000122877	TRUE	TRUE	0	0	TRUE	TRUE	32
ZBTB16	7704	ENSG00000109906	TRUE	TRUE	3	0	TRUE	TRUE	31
TGFB1	7040	ENSG00000105329	FALSE	TRUE	0	0	TRUE	TRUE	31
PAX2	5076	ENSG00000075891	TRUE	TRUE	0	0	TRUE	TRUE	30
GLI3	2737	ENSG00000106571	TRUE	TRUE	0	0	TRUE	TRUE	29
PROX1	5629	ENSG00000117707	TRUE	TRUE	0	0	TRUE	TRUE	29
MEN1	4221	ENSG00000133895	FALSE	TRUE	0	0	TRUE	TRUE	29
BMP4	652	ENSG00000125378	FALSE	TRUE	0	0	TRUE	TRUE	29
NR2F1	7025	ENSG00000175745	TRUE	TRUE	3	1	TRUE	TRUE	28
DLX5	1749	ENSG00000105880	TRUE	TRUE	0	0	TRUE	TRUE	28
BRD4	23476	ENSG00000141867	FALSE	TRUE	3	0	FALSE	TRUE	28
MTF1	4520	ENSG00000188786	TRUE	TRUE	3	0	TRUE	TRUE	27
NR4A2	4929	ENSG00000153234	TRUE	TRUE	1	0	TRUE	TRUE	27
OTX2	5015	ENSG00000165588	TRUE	TRUE	0	0	TRUE	TRUE	27
NR0B1	190	ENSG00000169297	TRUE	TRUE	0	0	TRUE	TRUE	27
ID1	3397	ENSG00000125968	FALSE	TRUE	0	0	TRUE	TRUE	27
SOX4	6659	ENSG00000124766	TRUE	TRUE	0	0	TRUE	TRUE	26
KMT2A	4297	ENSG00000118058	TRUE	TRUE	1	0	FALSE	TRUE	25
ASCL1	429	ENSG00000139352	TRUE	TRUE	0	0	TRUE	TRUE	25
MED1	5469	ENSG00000125686	FALSE	TRUE	0	0	TRUE	TRUE	25
TFAP2C	7022	ENSG00000087510	TRUE	TRUE	0	0	TRUE	TRUE	24
CUX1	1523	ENSG00000257923	TRUE	TRUE	2	0	FALSE	TRUE	24
PER1	5187	ENSG00000179094	FALSE	TRUE	3	0	FALSE	TRUE	24
ZEB2	9839	ENSG00000169554	TRUE	TRUE	0	0	TRUE	TRUE	23
GTF2I	2969	ENSG00000263001	TRUE	TRUE	3	0	FALSE	TRUE	23
RARB	5915	ENSG00000077092	TRUE	TRUE	0	0	TRUE	TRUE	23
ISL1	3670	ENSG00000016082	TRUE	TRUE	0	0	TRUE	TRUE	23
NCOR2	9612	ENSG00000196498	FALSE	TRUE	0	0	TRUE	TRUE	23
BRCA2	675	ENSG00000139618	FALSE	TRUE	3	0	TRUE	TRUE	23
MBD1	4152	ENSG00000141644	TRUE	TRUE	3	0	FALSE	TRUE	22
NOTCH3	4854	ENSG00000074181	FALSE	TRUE	0	0	TRUE	TRUE	22
KDM1A	23028	ENSG00000004487	FALSE	TRUE	0	0	TRUE	TRUE	22
LDB1	8861	ENSG00000198728	FALSE	TRUE	0	0	TRUE	TRUE	22
NR1D1	9572	ENSG00000126368	TRUE	TRUE	3	0	FALSE	TRUE	21
MSX1	4487	ENSG00000163132	TRUE	TRUE	0	0	TRUE	TRUE	21
LHX3	8022	ENSG00000107187	TRUE	TRUE	0	0	TRUE	TRUE	21
PER2	8864	ENSG00000132326	FALSE	TRUE	2	0	FALSE	TRUE	21
ZNF148	7707	ENSG00000163848	TRUE	TRUE	0	0	TRUE	TRUE	20
TBX2	6909	ENSG00000121068	TRUE	TRUE	0	0	TRUE	TRUE	20
RAD21	5885	ENSG00000164754	FALSE	TRUE	0	1	FALSE	TRUE	20
XRCC6	2547	ENSG00000196419	FALSE	TRUE	0	0	TRUE	TRUE	19
KAT2B	8850	ENSG00000114166	FALSE	TRUE	2	0	FALSE	TRUE	19
PAX7	5081	ENSG00000009709	TRUE	TRUE	0	0	TRUE	TRUE	18
PITX1	5307	ENSG00000069011	TRUE	TRUE	3	0	TRUE	TRUE	18
SIX3	6496	ENSG00000138083	TRUE	TRUE	0	0	TRUE	TRUE	18
SIX1	6495	ENSG00000126778	TRUE	TRUE	0	0	TRUE	TRUE	18
ID3	3399	ENSG00000117318	FALSE	TRUE	0	0	TRUE	TRUE	18
EED	8726	ENSG00000074266	FALSE	TRUE	0	0	TRUE	TRUE	18
IFNG	3458	ENSG00000111537	FALSE	TRUE	0	0	TRUE	TRUE	18
FOXC1	2296	ENSG00000054598	TRUE	TRUE	0	0	TRUE	TRUE	17
LHX2	9355	ENSG00000106689	TRUE	TRUE	0	0	TRUE	TRUE	17
NFIB	4781	ENSG00000147862	TRUE	TRUE	3	1	TRUE	TRUE	16
SETDB1	9869	ENSG00000143379	TRUE	TRUE	3	0	FALSE	TRUE	16
HHEX	3087	ENSG00000152804	TRUE	TRUE	0	0	TRUE	TRUE	16
NEUROG2	63973	ENSG00000178403	TRUE	TRUE	0	0	TRUE	TRUE	16
GSC	145258	ENSG00000133937	TRUE	TRUE	0	0	TRUE	TRUE	16
SOX5	6660	ENSG00000134532	TRUE	TRUE	1	0	TRUE	TRUE	16
SOX11	6664	ENSG00000176887	TRUE	TRUE	0	0	TRUE	TRUE	16
NKX2-2	4821	ENSG00000125820	TRUE	TRUE	0	0	TRUE	TRUE	15
NEUROG3	50674	ENSG00000122859	TRUE	TRUE	0	0	TRUE	TRUE	15
OLIG2	10215	ENSG00000205927	TRUE	TRUE	0	0	TRUE	TRUE	15
FOXP1	27086	ENSG00000114861	TRUE	TRUE	1	0	FALSE	TRUE	15
ATOH1	474	ENSG00000172238	TRUE	TRUE	0	0	TRUE	TRUE	15
EOMES	8320	ENSG00000163508	TRUE	TRUE	0	0	TRUE	TRUE	15
TBX3	6926	ENSG00000135111	TRUE	TRUE	0	0	TRUE	TRUE	15
LMX1B	4010	ENSG00000136944	TRUE	TRUE	2	0	TRUE	TRUE	15
BCL11A	53335	ENSG00000119866	TRUE	TRUE	1	0	FALSE	TRUE	15
MAFB	9935	ENSG00000204103	TRUE	TRUE	0	0	TRUE	TRUE	14
ZIC2	7546	ENSG00000043355	TRUE	TRUE	0	0	TRUE	TRUE	14
POU3F2	5454	ENSG00000184486	TRUE	TRUE	0	0	TRUE	TRUE	14
PHOX2B	8929	ENSG00000109132	TRUE	TRUE	0	0	TRUE	TRUE	14
TAF1	6872	ENSG00000147133	FALSE	TRUE	0	0	TRUE	TRUE	14
SOX8	30812	ENSG00000005513	TRUE	TRUE	0	0	TRUE	TRUE	13
NFIX	4784	ENSG00000008441	TRUE	TRUE	0	0	TRUE	TRUE	13
ESRRB	2103	ENSG00000119715	TRUE	TRUE	3	0	FALSE	TRUE	13
MECOM	2122	ENSG00000085276	TRUE	FALSE	0	0	TRUE	TRUE	13
SATB2	23314	ENSG00000119042	TRUE	TRUE	3	1	TRUE	TRUE	13
FOXP2	93986	ENSG00000128573	TRUE	TRUE	2	0	TRUE	TRUE	13
SKI	6497	ENSG00000157933	TRUE	TRUE	0	0	TRUE	TRUE	13
DLX3	1747	ENSG00000064195	TRUE	TRUE	2	0	FALSE	TRUE	13
ABL1	25	ENSG00000097007	FALSE	TRUE	0	0	TRUE	TRUE	13
BTG2	7832	ENSG00000159388	FALSE	TRUE	0	0	TRUE	TRUE	13
MAPK1	5594	ENSG00000100030	FALSE	TRUE	0	0	TRUE	TRUE	13
WNT3A	89780	ENSG00000154342	FALSE	TRUE	0	0	TRUE	TRUE	13
NR3C2	4306	ENSG00000151623	TRUE	TRUE	2	1	FALSE	TRUE	12
MEIS2	4212	ENSG00000134138	TRUE	TRUE	1	0	FALSE	TRUE	12
KDM5B	10765	ENSG00000117139	TRUE	TRUE	2	0	FALSE	TRUE	12
POU4F1	5457	ENSG00000152192	TRUE	TRUE	0	0	TRUE	TRUE	12
PHOX2A	401	ENSG00000165462	TRUE	TRUE	0	0	TRUE	TRUE	12
CITED2	10370	ENSG00000164442	FALSE	TRUE	0	0	TRUE	TRUE	12
COMMD3-BMI1	100532731	ENSG00000269897	FALSE	TRUE	0	0	TRUE	TRUE	12
FMR1	2332	ENSG00000102081	FALSE	TRUE	1	0	TRUE	TRUE	12
MRTFA	57591	ENSG00000196588	FALSE	TRUE	0	0	TRUE	TRUE	12
LMO4	8543	ENSG00000143013	FALSE	TRUE	0	0	TRUE	TRUE	12
SOX6	55553	ENSG00000110693	FALSE	TRUE	0	0	TRUE	TRUE	12
NPAS2	4862	ENSG00000170485	TRUE	TRUE	3	0	TRUE	TRUE	11
NR2E1	7101	ENSG00000112333	TRUE	TRUE	0	0	TRUE	TRUE	11
TLX1	3195	ENSG00000107807	TRUE	TRUE	0	0	TRUE	TRUE	11
HOXA1	3198	ENSG00000105991	TRUE	TRUE	0	0	TRUE	TRUE	11
BCL11B	64919	ENSG00000127152	TRUE	TRUE	0	0	TRUE	TRUE	11
PTF1A	256297	ENSG00000168267	TRUE	TRUE	0	0	TRUE	TRUE	11
TBX1	6899	ENSG00000184058	TRUE	TRUE	0	0	TRUE	TRUE	11
SOX3	6658	ENSG00000134595	TRUE	FALSE	0	0	TRUE	TRUE	11
ATF5	22809	ENSG00000169136	FALSE	TRUE	0	0	TRUE	TRUE	11
XRCC5	7520	ENSG00000079246	FALSE	TRUE	0	0	TRUE	TRUE	11
KDM4B	23030	ENSG00000127663	FALSE	TRUE	3	0	FALSE	TRUE	11
JARID2	3720	ENSG00000008083	FALSE	TRUE	2	0	TRUE	TRUE	11
THRA	7067	ENSG00000126351	TRUE	TRUE	3	0	TRUE	TRUE	10
EN1	2019	ENSG00000163064	TRUE	TRUE	0	0	TRUE	TRUE	10
NR2C2	7182	ENSG00000177463	TRUE	TRUE	0	0	TRUE	TRUE	10
NR4A3	8013	ENSG00000119508	TRUE	TRUE	0	0	TRUE	TRUE	10
DLX2	1746	ENSG00000115844	TRUE	TRUE	3	0	TRUE	TRUE	10
WNT1	7471	ENSG00000125084	FALSE	TRUE	3	0	TRUE	TRUE	10
GRIP1	23426	ENSG00000155974	FALSE	TRUE	2	0	FALSE	TRUE	10
NKX6-1	4825	ENSG00000163623	TRUE	TRUE	0	0	TRUE	TRUE	9
MBD3	53615	ENSG00000071655	TRUE	TRUE	3	0	TRUE	TRUE	9
TBX20	57057	ENSG00000164532	TRUE	TRUE	0	0	TRUE	TRUE	9
FOXG1	2290	ENSG00000176165	TRUE	TRUE	1	0	TRUE	TRUE	9
EZH1	2145	ENSG00000108799	FALSE	TRUE	0	0	TRUE	TRUE	9
NCOA6	23054	ENSG00000198646	FALSE	TRUE	0	0	TRUE	TRUE	9
SND1	27044	ENSG00000197157	FALSE	TRUE	3	0	FALSE	TRUE	9
TRRAP	8295	ENSG00000196367	FALSE	TRUE	3	1	FALSE	TRUE	9
CIC	23152	ENSG00000079432	TRUE	FALSE	1	0	TRUE	TRUE	8
ZIC1	7545	ENSG00000152977	TRUE	TRUE	0	0	TRUE	TRUE	8
TBR1	10716	ENSG00000136535	TRUE	TRUE	1	0	TRUE	TRUE	8
ARX	170302	ENSG00000004848	TRUE	TRUE	1	0	TRUE	TRUE	8
HDAC11	79885	ENSG00000163517	FALSE	TRUE	0	0	TRUE	TRUE	8
ARID1A	8289	ENSG00000117713	FALSE	TRUE	0	0	TRUE	TRUE	8
MAL	4118	ENSG00000172005	FALSE	TRUE	0	0	TRUE	TRUE	8
TET2	54790	ENSG00000168769	TRUE	TRUE	2	0	FALSE	TRUE	7
PITX3	5309	ENSG00000107859	TRUE	TRUE	0	0	TRUE	TRUE	7
HOXB1	3211	ENSG00000120094	TRUE	TRUE	0	0	TRUE	TRUE	7
GCM1	8521	ENSG00000137270	TRUE	TRUE	0	0	TRUE	TRUE	7
HOXA2	3199	ENSG00000105996	TRUE	TRUE	0	0	TRUE	TRUE	7
LHX4	89884	ENSG00000121454	TRUE	TRUE	0	0	TRUE	TRUE	7
WNT5A	7474	ENSG00000114251	FALSE	TRUE	0	0	TRUE	TRUE	7
KAT2A	2648	ENSG00000108773	FALSE	TRUE	0	0	TRUE	TRUE	7
SUFU	51684	ENSG00000107882	FALSE	TRUE	0	0	TRUE	TRUE	7
NIPBL	25836	ENSG00000164190	FALSE	TRUE	1	0	TRUE	TRUE	7
TLX3	30012	ENSG00000164438	TRUE	TRUE	0	0	TRUE	TRUE	6
MNT	4335	ENSG00000070444	TRUE	TRUE	3	0	FALSE	TRUE	6
TERF2	7014	ENSG00000132604	TRUE	FALSE	2	0	FALSE	TRUE	6
ZBTB20	26137	ENSG00000181722	TRUE	TRUE	1	0	FALSE	TRUE	6
GBX2	2637	ENSG00000168505	TRUE	TRUE	0	0	TRUE	TRUE	6
RFX3	5991	ENSG00000080298	TRUE	TRUE	1	0	FALSE	TRUE	6
MBD4	8930	ENSG00000129071	TRUE	FALSE	3	0	FALSE	TRUE	6
HESX1	8820	ENSG00000163666	TRUE	TRUE	0	0	TRUE	TRUE	6
SOX1	6656	ENSG00000182968	TRUE	FALSE	0	0	TRUE	TRUE	6
EHMT1	79813	ENSG00000181090	FALSE	TRUE	1	0	FALSE	TRUE	6
ERCC2	2068	ENSG00000104884	FALSE	TRUE	0	0	TRUE	TRUE	6
HMGN1	3150	ENSG00000205581	FALSE	TRUE	2	0	FALSE	TRUE	6
ATRX	546	ENSG00000085224	FALSE	TRUE	1	0	TRUE	TRUE	6
ID4	3400	ENSG00000172201	FALSE	TRUE	0	0	TRUE	TRUE	6
SSRP1	6749	ENSG00000149136	FALSE	TRUE	3	0	FALSE	TRUE	6
NHLH2	4808	ENSG00000177551	TRUE	TRUE	0	0	TRUE	TRUE	5
FOXJ1	2302	ENSG00000129654	TRUE	TRUE	0	0	TRUE	TRUE	5
CUX2	23316	ENSG00000111249	TRUE	TRUE	3	1	FALSE	TRUE	5
PROP1	5626	ENSG00000175325	TRUE	TRUE	0	0	TRUE	TRUE	5
DEAF1	10522	ENSG00000177030	TRUE	TRUE	2	1	FALSE	TRUE	5
POU3F1	5453	ENSG00000185668	TRUE	TRUE	0	0	TRUE	TRUE	5
POU3F3	5455	ENSG00000198914	TRUE	TRUE	0	1	TRUE	TRUE	5
POU3F4	5456	ENSG00000196767	TRUE	TRUE	0	0	TRUE	TRUE	5
ZFHX3	463	ENSG00000140836	TRUE	TRUE	0	0	TRUE	TRUE	5
HOXC10	3226	ENSG00000180818	TRUE	TRUE	0	0	TRUE	TRUE	5
LHX1	3975	ENSG00000273706	TRUE	TRUE	0	0	TRUE	TRUE	5
DLX1	1745	ENSG00000144355	TRUE	TRUE	0	0	TRUE	TRUE	5
NDN	4692	ENSG00000182636	FALSE	TRUE	0	0	TRUE	TRUE	5
SIRT2	22933	ENSG00000068903	FALSE	TRUE	0	0	TRUE	TRUE	5
CHD8	57680	ENSG00000100888	FALSE	TRUE	1	0	TRUE	TRUE	5
PHF8	23133	ENSG00000172943	FALSE	TRUE	0	0	TRUE	TRUE	5
KDM2B	84678	ENSG00000089094	FALSE	TRUE	0	0	TRUE	TRUE	5
KDM4C	23081	ENSG00000107077	FALSE	TRUE	2	0	FALSE	TRUE	5
APBB1	322	ENSG00000166313	FALSE	TRUE	2	0	FALSE	TRUE	5
CHD7	55636	ENSG00000171316	FALSE	TRUE	1	0	TRUE	TRUE	5
SRSF1	6426	ENSG00000136450	FALSE	TRUE	0	0	TRUE	TRUE	5
CHD1	1105	ENSG00000153922	FALSE	TRUE	3	1	FALSE	TRUE	5
NEUROD2	4761	ENSG00000171532	TRUE	TRUE	0	0	TRUE	TRUE	4
SETBP1	26040	ENSG00000152217	TRUE	TRUE	1	0	FALSE	TRUE	4
GRHL2	79977	ENSG00000083307	TRUE	TRUE	0	0	TRUE	TRUE	4
SRCAP	10847	ENSG00000080603	TRUE	TRUE	1	0	FALSE	TRUE	4
HOXD10	3236	ENSG00000128710	TRUE	FALSE	0	0	TRUE	TRUE	4
FEZF2	55079	ENSG00000153266	TRUE	FALSE	3	0	TRUE	TRUE	4
SHOX	6473	ENSG00000185960	TRUE	TRUE	2	0	FALSE	TRUE	4
TBL1XR1	79718	ENSG00000177565	FALSE	TRUE	2	0	FALSE	TRUE	4
MAPK3	5595	ENSG00000102882	FALSE	TRUE	3	0	TRUE	TRUE	4
GRIN1	2902	ENSG00000176884	FALSE	TRUE	2	0	TRUE	TRUE	4
KMT2C	58508	ENSG00000055609	FALSE	TRUE	1	0	FALSE	TRUE	4
HNRNPK	3190	ENSG00000165119	FALSE	TRUE	0	0	TRUE	TRUE	4
TRIM33	51592	ENSG00000197323	FALSE	TRUE	3	0	FALSE	TRUE	4
PYGO2	90780	ENSG00000163348	FALSE	TRUE	0	0	TRUE	TRUE	4
ILF2	3608	ENSG00000143621	FALSE	TRUE	2	0	FALSE	TRUE	4
WWP1	11059	ENSG00000123124	FALSE	TRUE	0	0	TRUE	TRUE	4
CHD3	1107	ENSG00000170004	FALSE	TRUE	1	0	FALSE	TRUE	4
SYT1	6857	ENSG00000067715	FALSE	TRUE	0	0	TRUE	TRUE	4
BTAF1	9044	ENSG00000095564	FALSE	TRUE	2	0	FALSE	TRUE	4
NFE2L1	4779	ENSG00000082641	TRUE	TRUE	0	0	TRUE	TRUE	3
RAX	30062	ENSG00000134438	TRUE	TRUE	0	0	TRUE	TRUE	3
BPTF	2186	ENSG00000171634	TRUE	TRUE	0	0	TRUE	TRUE	3
EMX2	2018	ENSG00000170370	TRUE	TRUE	0	0	TRUE	TRUE	3
EN2	2020	ENSG00000164778	TRUE	TRUE	3	0	TRUE	TRUE	3
GRHL3	57822	ENSG00000158055	TRUE	TRUE	0	0	TRUE	TRUE	3
ZIC3	7547	ENSG00000156925	TRUE	TRUE	0	0	TRUE	TRUE	3
SPEN	23013	ENSG00000065526	TRUE	TRUE	2	0	FALSE	TRUE	3
FOXN4	121643	ENSG00000139445	TRUE	TRUE	0	0	TRUE	TRUE	3
SALL3	27164	ENSG00000256463	TRUE	TRUE	0	0	TRUE	TRUE	3
HES5	388585	ENSG00000197921	TRUE	FALSE	0	0	TRUE	TRUE	3
HOXB2	3212	ENSG00000173917	TRUE	TRUE	0	0	TRUE	TRUE	3
NEUROD6	63974	ENSG00000164600	TRUE	TRUE	0	0	TRUE	TRUE	3
DLX6	1750	ENSG00000006377	TRUE	FALSE	3	0	FALSE	TRUE	3
LMX1A	4009	ENSG00000162761	TRUE	FALSE	0	0	TRUE	TRUE	3
SMURF1	57154	ENSG00000198742	FALSE	TRUE	3	0	FALSE	TRUE	3
CHD5	26038	ENSG00000116254	FALSE	TRUE	0	0	TRUE	TRUE	3
TOP2B	7155	ENSG00000077097	FALSE	TRUE	0	0	TRUE	TRUE	3
EPOR	2057	ENSG00000187266	FALSE	TRUE	0	0	TRUE	TRUE	3
KAT6A	7994	ENSG00000083168	FALSE	TRUE	2	1	FALSE	TRUE	3
HNRNPD	3184	ENSG00000138668	FALSE	TRUE	0	0	TRUE	TRUE	3
IFNGR1	3459	ENSG00000027697	FALSE	TRUE	0	0	TRUE	TRUE	3
SMARCA1	6594	ENSG00000102038	FALSE	TRUE	0	0	TRUE	TRUE	3
SMARCC2	6601	ENSG00000139613	FALSE	TRUE	1	0	TRUE	TRUE	3
LEO1	123169	ENSG00000166477	FALSE	TRUE	2	0	FALSE	TRUE	3
DDX3X	1654	ENSG00000215301	FALSE	TRUE	1	0	FALSE	TRUE	3
AKNA	80709	ENSG00000106948	TRUE	TRUE	0	0	TRUE	TRUE	2
EVX1	2128	ENSG00000106038	TRUE	TRUE	0	0	TRUE	TRUE	2
LHX6	26468	ENSG00000106852	TRUE	FALSE	0	0	TRUE	TRUE	2
CASZ1	54897	ENSG00000130940	TRUE	FALSE	2	0	FALSE	TRUE	2
PBX3	5090	ENSG00000167081	TRUE	FALSE	0	0	TRUE	TRUE	2
TSHZ3	57616	ENSG00000121297	TRUE	TRUE	1	0	FALSE	TRUE	2
CC2D1A	54862	ENSG00000132024	TRUE	FALSE	2	0	FALSE	TRUE	2
OTX1	5013	ENSG00000115507	TRUE	TRUE	3	0	TRUE	TRUE	2
OLIG1	116448	ENSG00000184221	TRUE	TRUE	0	0	TRUE	TRUE	2
LBX1	10660	ENSG00000138136	TRUE	TRUE	0	0	TRUE	TRUE	2
ARHGAP35	2909	ENSG00000160007	TRUE	TRUE	0	0	TRUE	TRUE	2
HOXB3	3213	ENSG00000120093	TRUE	TRUE	0	0	TRUE	TRUE	2
ZNF488	118738	ENSG00000265763	TRUE	TRUE	0	0	TRUE	TRUE	2
SALL1	6299	ENSG00000103449	TRUE	TRUE	0	0	TRUE	TRUE	2
TFAP2D	83741	ENSG00000008197	TRUE	TRUE	0	0	TRUE	TRUE	2
TCF20	6942	ENSG00000100207	TRUE	TRUE	1	0	FALSE	TRUE	2
SMAD9	4093	ENSG00000120693	TRUE	TRUE	0	0	TRUE	TRUE	2
VAX2	25806	ENSG00000116035	TRUE	TRUE	0	0	TRUE	TRUE	2
SETDB2	83852	ENSG00000136169	TRUE	TRUE	3	0	FALSE	TRUE	2
SOX12	6666	ENSG00000177732	TRUE	TRUE	0	0	TRUE	TRUE	2
