TF_Symbol	TF_Entrez_ID	TF_Ensembl_ID	Lambert	Prev_Curated	SFARI_Score	SFARI_Syndromic	GO_Neurodev	Neurodev_TF	N_Candidate_Paper
STAT3	6774	ENSG00000168610	TRUE	TRUE	0	0	TRUE	TRUE	634
TP53	7157	ENSG00000141510	TRUE	TRUE	0	0	TRUE	TRUE	587
AR	367	ENSG00000169083	TRUE	TRUE	3	0	FALSE	TRUE	581
MYC	4609	ENSG00000136997	TRUE	TRUE	0	0	TRUE	TRUE	554
TNF	7124	ENSG00000232810	FALSE	TRUE	0	0	TRUE	TRUE	511
E2F1	1869	ENSG00000101412	TRUE	TRUE	0	0	TRUE	TRUE	418
HIF1A	3091	ENSG00000100644	TRUE	TRUE	0	0	TRUE	TRUE	339
CREB1	1385	ENSG00000118260	TRUE	TRUE	0	0	TRUE	TRUE	265
HDAC1	3065	ENSG00000116478	FALSE	TRUE	0	0	TRUE	TRUE	264
CTNNB1	1499	ENSG00000168036	FALSE	TRUE	1	0	TRUE	TRUE	220
ETS1	2113	ENSG00000134954	TRUE	TRUE	0	0	TRUE	TRUE	217
EP300	2033	ENSG00000100393	FALSE	TRUE	1	0	FALSE	TRUE	206
CTCF	10664	ENSG00000102974	TRUE	TRUE	1	0	FALSE	TRUE	204
EZH2	2146	ENSG00000106462	FALSE	TRUE	0	0	TRUE	TRUE	163
SOX2	6657	ENSG00000181449	TRUE	TRUE	0	0	TRUE	TRUE	150
VDR	7421	ENSG00000111424	TRUE	TRUE	3	0	FALSE	TRUE	148
RUNX1	861	not_applicable	FALSE	TRUE	0	0	TRUE	TRUE	147
FOXA2	3170	ENSG00000125798	TRUE	TRUE	0	0	TRUE	TRUE	146
SMAD4	4089	ENSG00000141646	TRUE	TRUE	2	0	FALSE	TRUE	142
CREBBP	1387	ENSG00000005339	FALSE	TRUE	1	0	FALSE	TRUE	123
SOX9	6662	ENSG00000125398	TRUE	TRUE	0	0	TRUE	TRUE	114
RBPJ	3516	ENSG00000168214	TRUE	TRUE	0	0	TRUE	TRUE	109
TFAP2A	7020	ENSG00000137203	TRUE	TRUE	0	0	TRUE	TRUE	108
SRF	6722	ENSG00000112658	TRUE	TRUE	0	0	TRUE	TRUE	104
NOTCH1	4851	ENSG00000148400	FALSE	TRUE	0	0	TRUE	TRUE	104
FOXO3	2309	ENSG00000118689	TRUE	TRUE	0	0	TRUE	TRUE	100
LEF1	51176	ENSG00000138795	TRUE	TRUE	0	0	TRUE	TRUE	98
RARA	5914	ENSG00000131759	TRUE	TRUE	0	0	TRUE	TRUE	98
TCF4	6925	ENSG00000196628	TRUE	TRUE	1	0	FALSE	TRUE	92
HDAC2	3066	ENSG00000196591	FALSE	TRUE	0	0	TRUE	TRUE	91
PAX6	5080	ENSG00000007372	TRUE	TRUE	0	0	TRUE	TRUE	87
GATA2	2624	ENSG00000179348	TRUE	TRUE	0	0	TRUE	TRUE	83
SMAD1	4086	ENSG00000170365	TRUE	TRUE	0	0	TRUE	TRUE	80
EGFR	1956	ENSG00000146648	FALSE	TRUE	0	0	TRUE	TRUE	79
SMARCA4	6597	ENSG00000127616	FALSE	TRUE	2	0	TRUE	TRUE	77
TLR4	7099	ENSG00000136869	FALSE	TRUE	0	0	TRUE	TRUE	72
PAX5	5079	ENSG00000196092	TRUE	TRUE	2	0	TRUE	TRUE	70
MECP2	4204	ENSG00000169057	TRUE	TRUE	1	0	TRUE	TRUE	67
GLI1	2735	ENSG00000111087	TRUE	TRUE	0	0	TRUE	TRUE	63
PPARGC1A	10891	ENSG00000109819	FALSE	TRUE	0	0	TRUE	TRUE	63
PTGS2	5743	ENSG00000073756	FALSE	TRUE	3	0	FALSE	TRUE	62
SOX10	6663	ENSG00000100146	TRUE	TRUE	0	0	TRUE	TRUE	60
NR2F2	7026	ENSG00000185551	FALSE	TRUE	0	0	TRUE	TRUE	60
ERG	2078	ENSG00000157554	TRUE	TRUE	3	0	FALSE	TRUE	59
TAL1	6886	ENSG00000162367	TRUE	TRUE	0	0	TRUE	TRUE	58
MEF2C	4208	ENSG00000081189	TRUE	TRUE	3	1	FALSE	TRUE	57
GLI2	2736	ENSG00000074047	TRUE	TRUE	0	0	TRUE	TRUE	54
PAX3	5077	ENSG00000135903	TRUE	TRUE	0	0	TRUE	TRUE	54
ZEB1	6935	ENSG00000148516	TRUE	TRUE	0	0	TRUE	TRUE	54
ATM	472	ENSG00000149311	FALSE	TRUE	0	0	TRUE	TRUE	49
NKX2-1	7080	ENSG00000136352	TRUE	TRUE	0	0	TRUE	TRUE	48
DNMT3A	1788	ENSG00000119772	FALSE	TRUE	1	0	FALSE	TRUE	48
HES1	3280	ENSG00000114315	TRUE	TRUE	0	0	TRUE	TRUE	47
SHH	6469	ENSG00000164690	FALSE	TRUE	0	0	TRUE	TRUE	47
TCF7L2	6934	ENSG00000148737	TRUE	TRUE	2	0	TRUE	TRUE	43
SUZ12	23512	ENSG00000178691	FALSE	TRUE	0	0	TRUE	TRUE	43
POU1F1	5449	ENSG00000064835	TRUE	TRUE	0	0	TRUE	TRUE	42
PDX1	3651	ENSG00000139515	TRUE	TRUE	0	0	TRUE	TRUE	41
PITX2	5308	ENSG00000164093	TRUE	TRUE	0	0	TRUE	TRUE	40
HDAC4	9759	ENSG00000068024	FALSE	TRUE	3	1	FALSE	TRUE	39
HNF1B	6928	ENSG00000275410	TRUE	TRUE	0	0	TRUE	TRUE	38
NCOR1	9611	ENSG00000141027	FALSE	TRUE	2	0	TRUE	TRUE	38
KDM6B	23135	ENSG00000132510	FALSE	TRUE	1	0	TRUE	TRUE	38
NFIA	4774	ENSG00000162599	TRUE	TRUE	3	0	FALSE	TRUE	37
ESR2	2100	ENSG00000140009	TRUE	TRUE	3	0	TRUE	TRUE	37
